State,Filed week ended,Initial Claims
Kansas,01/03/1987,"4,866"
Kansas,01/10/1987,"5,543"
Kansas,01/17/1987,"7,439"
Kansas,01/24/1987,"3,831"
Kansas,01/31/1987,"5,276"
Kansas,02/07/1987,"3,324"
Kansas,02/14/1987,"2,829"
Kansas,02/21/1987,"3,224"
Kansas,02/28/1987,"3,296"
Kansas,03/07/1987,"2,626"
Kansas,03/14/1987,"2,245"
Kansas,03/21/1987,"3,619"
Kansas,03/28/1987,"3,542"
Kansas,04/04/1987,"2,411"
Kansas,04/11/1987,"2,356"
Kansas,04/18/1987,"3,111"
Kansas,04/25/1987,"2,422"
Kansas,05/02/1987,"2,004"
Kansas,05/09/1987,"2,422"
Kansas,05/16/1987,"5,627"
Kansas,05/23/1987,"2,344"
Kansas,05/30/1987,"2,551"
Kansas,06/06/1987,"3,006"
Kansas,06/13/1987,"2,565"
Kansas,06/20/1987,"2,114"
Kansas,06/27/1987,"2,023"
Kansas,07/04/1987,"2,461"
Kansas,07/11/1987,"3,580"
Kansas,07/18/1987,"2,211"
Kansas,07/25/1987,"2,146"
Kansas,08/01/1987,"2,044"
Kansas,08/08/1987,"2,342"
Kansas,08/15/1987,"2,139"
Kansas,08/22/1987,"2,001"
Kansas,08/29/1987,"2,235"
Kansas,09/05/1987,"2,142"
Kansas,09/12/1987,"1,664"
Kansas,09/19/1987,"1,949"
Kansas,09/26/1987,"2,018"
Kansas,10/03/1987,"1,806"
Kansas,10/10/1987,"2,545"
Kansas,10/17/1987,"2,092"
Kansas,10/24/1987,"2,102"
Kansas,10/31/1987,"2,274"
Kansas,11/07/1987,"2,553"
Kansas,11/14/1987,"1,957"
Kansas,11/21/1987,"2,829"
Kansas,11/28/1987,"2,084"
Kansas,12/05/1987,"4,180"
Kansas,12/12/1987,"2,875"
Kansas,12/19/1987,"4,348"
Kansas,12/26/1987,"2,799"
Kansas,01/02/1988,"4,330"
Kansas,01/09/1988,"7,361"
Kansas,01/16/1988,"4,779"
Kansas,01/23/1988,"3,020"
Kansas,01/30/1988,"3,299"
Kansas,02/06/1988,"3,816"
Kansas,02/13/1988,"3,207"
Kansas,02/20/1988,"2,667"
Kansas,02/27/1988,"2,407"
Kansas,03/05/1988,"2,540"
Kansas,03/12/1988,"2,177"
Kansas,03/19/1988,"2,449"
Kansas,03/26/1988,"2,223"
Kansas,04/02/1988,"1,917"
Kansas,04/09/1988,"2,550"
Kansas,04/16/1988,"2,079"
Kansas,04/23/1988,"2,055"
Kansas,04/30/1988,"2,103"
Kansas,05/07/1988,"2,395"
Kansas,05/14/1988,"2,183"
Kansas,05/21/1988,"2,077"
Kansas,05/28/1988,"2,065"
Kansas,06/04/1988,"2,010"
Kansas,06/11/1988,"2,899"
Kansas,06/18/1988,"2,219"
Kansas,06/25/1988,"2,163"
Kansas,07/02/1988,"2,060"
Kansas,07/09/1988,"2,458"
Kansas,07/16/1988,"2,358"
Kansas,07/23/1988,"4,483"
Kansas,07/30/1988,"3,002"
Kansas,08/06/1988,"3,306"
Kansas,08/13/1988,"2,339"
Kansas,08/20/1988,"2,109"
Kansas,08/27/1988,"2,135"
Kansas,09/03/1988,"2,132"
Kansas,09/10/1988,"1,683"
Kansas,09/17/1988,"2,026"
Kansas,09/24/1988,"2,090"
Kansas,10/01/1988,"1,751"
Kansas,10/08/1988,"2,520"
Kansas,10/15/1988,"2,187"
Kansas,10/22/1988,"2,234"
Kansas,10/29/1988,"1,932"
Kansas,11/05/1988,"2,868"
Kansas,11/12/1988,"2,014"
Kansas,11/19/1988,"2,822"
Kansas,11/26/1988,"1,939"
Kansas,12/03/1988,"5,905"
Kansas,12/10/1988,"3,103"
Kansas,12/17/1988,"3,075"
Kansas,12/24/1988,"3,228"
Kansas,12/31/1988,"4,059"
Kansas,01/07/1989,"4,532"
Kansas,01/14/1989,"4,341"
Kansas,01/21/1989,"2,634"
Kansas,01/28/1989,"3,119"
Kansas,02/04/1989,"6,073"
Kansas,02/11/1989,"4,306"
Kansas,02/18/1989,"2,834"
Kansas,02/25/1989,"5,528"
Kansas,03/04/1989,"2,527"
Kansas,03/11/1989,"2,390"
Kansas,03/18/1989,"2,113"
Kansas,03/25/1989,"2,200"
Kansas,04/01/1989,"2,152"
Kansas,04/08/1989,"2,475"
Kansas,04/15/1989,"2,013"
Kansas,04/22/1989,"2,185"
Kansas,04/29/1989,"1,877"
Kansas,05/06/1989,"2,166"
Kansas,05/13/1989,"1,981"
Kansas,05/20/1989,"2,360"
Kansas,05/27/1989,"2,298"
Kansas,06/03/1989,"2,013"
Kansas,06/10/1989,"4,973"
Kansas,06/17/1989,"2,358"
Kansas,06/24/1989,"2,077"
Kansas,07/01/1989,"2,388"
Kansas,07/08/1989,"2,854"
Kansas,07/15/1989,"2,262"
Kansas,07/22/1989,"1,809"
Kansas,07/29/1989,"3,901"
