observation_date,MEHOINUSARA672N
1984-01-01,41210
1985-01-01,44370
1986-01-01,46850
1987-01-01,45550
1988-01-01,47070
1989-01-01,47910
1990-01-01,48570
1991-01-01,48200
1992-01-01,47900
1993-01-01,45100
1994-01-01,48970
1995-01-01,48310
1996-01-01,49450
1997-01-01,46700
1998-01-01,48710
1999-01-01,51210
2000-01-01,49520
2001-01-01,54370
2002-01-01,52170
2003-01-01,50500
2004-01-01,53850
2005-01-01,54840
2006-01-01,53880
2007-01-01,57830
2008-01-01,54130
2009-01-01,50160
2010-01-01,52260
2011-01-01,54250
2012-01-01,50280
2013-01-01,50130
2014-01-01,56390
2015-01-01,53770
2016-01-01,57170
2017-01-01,60880
2018-01-01,59720
2019-01-01,64470
2020-01-01,59400
2021-01-01,56870
2022-01-01,56120
2023-01-01,63250
