observation_date,MEHOINUSCTA672N
1984-01-01,78740
1985-01-01,79050
1986-01-01,81850
1987-01-01,79510
1988-01-01,84500
1989-01-01,94600
1990-01-01,82850
1991-01-01,86700
1992-01-01,81920
1993-01-01,77350
1994-01-01,78720
1995-01-01,75310
1996-01-01,76790
1997-01-01,78510
1998-01-01,81890
1999-01-01,87280
2000-01-01,83670
2001-01-01,87000
2002-01-01,86000
2003-01-01,86730
2004-01-01,84820
2005-01-01,85030
2006-01-01,90730
2007-01-01,90920
2008-01-01,88440
2009-01-01,89030
2010-01-01,89380
2011-01-01,85920
2012-01-01,82790
2013-01-01,88220
2014-01-01,88080
2015-01-01,91570
2016-01-01,94540
2017-01-01,90930
2018-01-01,87340
2019-01-01,103200
2020-01-01,92930
2021-01-01,90660
2022-01-01,94340
2023-01-01,92240
