observation_date,MEHOINUSDEA672N
1984-01-01,67880
1985-01-01,58430
1986-01-01,64100
1987-01-01,70760
1988-01-01,71180
1989-01-01,71680
1990-01-01,65660
1991-01-01,67020
1992-01-01,71570
1993-01-01,70590
1994-01-01,68720
1995-01-01,65360
1996-01-01,71670
1997-01-01,76810
1998-01-01,73000
1999-01-01,80440
2000-01-01,83990
2001-01-01,80890
2002-01-01,79980
2003-01-01,77350
2004-01-01,73970
2005-01-01,76650
2006-01-01,76240
2007-01-01,77380
2008-01-01,69330
2009-01-01,71550
2010-01-01,74780
2011-01-01,71800
2012-01-01,63110
2013-01-01,68870
2014-01-01,72210
2015-01-01,72560
2016-01-01,72280
2017-01-01,79500
2018-01-01,77990
2019-01-01,87700
2020-01-01,81920
2021-01-01,76920
2022-01-01,83960
2023-01-01,86340
