observation_date,MEHOINUSFLA672N
1984-01-01,52020
1985-01-01,54270
1986-01-01,57160
1987-01-01,59250
1988-01-01,59280
1989-01-01,58310
1990-01-01,56880
1991-01-01,56050
1992-01-01,54860
1993-01-01,55880
1994-01-01,56110
1995-01-01,55660
1996-01-01,55860
1997-01-01,57930
1998-01-01,61470
1999-01-01,61810
2000-01-01,64800
2001-01-01,59400
2002-01-01,61250
2003-01-01,61490
2004-01-01,62400
2005-01-01,64310
2006-01-01,66410
2007-01-01,64910
2008-01-01,61340
2009-01-01,62650
2010-01-01,59680
2011-01-01,59250
2012-01-01,59370
2013-01-01,61790
2014-01-01,57920
2015-01-01,61340
2016-01-01,63730
2017-01-01,64960
2018-01-01,65550
2019-01-01,69000
2020-01-01,67570
2021-01-01,66890
2022-01-01,67960
2023-01-01,72200
