observation_date,MEHOINUSHIA672N
1984-01-01,75920
1985-01-01,73640
1986-01-01,72550
1987-01-01,84740
1988-01-01,77060
1989-01-01,78310
1990-01-01,82960
1991-01-01,76610
1992-01-01,84470
1993-01-01,83510
1994-01-01,80940
1995-01-01,80190
1996-01-01,76160
1997-01-01,73060
1998-01-01,71890
1999-01-01,76780
2000-01-01,85960
2001-01-01,77370
2002-01-01,76200
2003-01-01,81790
2004-01-01,86580
2005-01-01,89140
2006-01-01,87910
2007-01-01,90750
2008-01-01,84120
2009-01-01,76400
2010-01-01,80630
2011-01-01,77560
2012-01-01,72500
2013-01-01,81780
2014-01-01,89410
2015-01-01,81050
2016-01-01,89820
2017-01-01,90070
2018-01-01,96100
2019-01-01,104000
2020-01-01,94560
2021-01-01,92050
2022-01-01,94620
2023-01-01,97360
