observation_date,MEHOINUSMAA672N
1984-01-01,70880
1985-01-01,71720
1986-01-01,75890
1987-01-01,78010
1988-01-01,77500
1989-01-01,80660
1990-01-01,77260
1991-01-01,73460
1992-01-01,72930
1993-01-01,72550
1994-01-01,77580
1995-01-01,72180
1996-01-01,72000
1997-01-01,75010
1998-01-01,74560
1999-01-01,75920
2000-01-01,77970
2001-01-01,85220
2002-01-01,80310
2003-01-01,80400
2004-01-01,80080
2005-01-01,83800
2006-01-01,80440
2007-01-01,82870
2008-01-01,82480
2009-01-01,81510
2010-01-01,82520
2011-01-01,83160
2012-01-01,82030
2013-01-01,79610
2014-01-01,79280
2015-01-01,85250
2016-01-01,89990
2017-01-01,93300
2018-01-01,103600
2019-01-01,103700
2020-01-01,102700
2021-01-01,96940
2022-01-01,97260
2023-01-01,106500
