observation_date,MEHOINUSMIA672N
1984-01-01,60380
1985-01-01,61640
1986-01-01,66550
1987-01-01,67030
1988-01-01,68770
1989-01-01,68790
1990-01-01,63810
1991-01-01,66060
1992-01-01,64720
1993-01-01,63930
1994-01-01,67590
1995-01-01,68160
1996-01-01,71510
1997-01-01,69150
1998-01-01,73640
1999-01-01,79510
2000-01-01,75900
2001-01-01,73470
2002-01-01,68810
2003-01-01,71040
2004-01-01,65050
2005-01-01,68720
2006-01-01,70730
2007-01-01,69980
2008-01-01,68080
2009-01-01,63140
2010-01-01,62670
2011-01-01,64200
2012-01-01,64450
2013-01-01,72020
2014-01-01,65280
2015-01-01,68090
2016-01-01,71090
2017-01-01,69030
2018-01-01,72510
2019-01-01,75790
2020-01-01,75330
2021-01-01,72210
2022-01-01,71730
2023-01-01,76960
