observation_date,MEHOINUSMNA672N
1984-01-01,64240
1985-01-01,60660
1986-01-01,66150
1987-01-01,67950
1988-01-01,67870
1989-01-01,67470
1990-01-01,67070
1991-01-01,60630
1992-01-01,62140
1993-01-01,65930
1994-01-01,64450
1995-01-01,70980
1996-01-01,74730
1997-01-01,75970
1998-01-01,84390
1999-01-01,81150
2000-01-01,90470
2001-01-01,85920
2002-01-01,87980
2003-01-01,83350
2004-01-01,86360
2005-01-01,81110
2006-01-01,81720
2007-01-01,82300
2008-01-01,75100
2009-01-01,77000
2010-01-01,70860
2011-01-01,75950
2012-01-01,79630
2013-01-01,81900
2014-01-01,84410
2015-01-01,86340
2016-01-01,87440
2017-01-01,85630
2018-01-01,86150
2019-01-01,96250
2020-01-01,92130
2021-01-01,90080
2022-01-01,93980
2023-01-01,90340
