observation_date,MEHOINUSNJA672N
1984-01-01,73020
1985-01-01,78770
1986-01-01,79330
1987-01-01,82850
1988-01-01,84670
1989-01-01,87440
1990-01-01,82560
1991-01-01,82370
1992-01-01,78230
1993-01-01,79280
1994-01-01,80990
1995-01-01,82190
1996-01-01,86540
1997-01-01,85710
1998-01-01,87740
1999-01-01,85800
2000-01-01,84060
2001-01-01,84430
2002-01-01,87900
2003-01-01,88430
2004-01-01,85090
2005-01-01,94800
2006-01-01,98950
2007-01-01,85770
2008-01-01,89300
2009-01-01,88930
2010-01-01,85280
2011-01-01,81880
2012-01-01,85940
2013-01-01,81170
2014-01-01,81900
2015-01-01,85880
2016-01-01,85260
2017-01-01,87180
2018-01-01,88980
2019-01-01,103700
2020-01-01,100100
2021-01-01,99170
2022-01-01,96010
2023-01-01,91590
