observation_date,MEHOINUSNMA672N
1984-01-01,54240
1985-01-01,51930
1986-01-01,49640
1987-01-01,50230
1988-01-01,45020
1989-01-01,50520
1990-01-01,53370
1991-01-01,54590
1992-01-01,51870
1993-01-01,52380
1994-01-01,51540
1995-01-01,48640
1996-01-01,45740
1997-01-01,53700
1998-01-01,55540
1999-01-01,56200
2000-01-01,58520
2001-01-01,54020
2002-01-01,57110
2003-01-01,55390
2004-01-01,60900
2005-01-01,58270
2006-01-01,58190
2007-01-01,62870
2008-01-01,57570
2009-01-01,59780
2010-01-01,61120
2011-01-01,55140
2012-01-01,55960
2013-01-01,51140
2014-01-01,58610
2015-01-01,56680
2016-01-01,60330
2017-01-01,55800
2018-01-01,57920
2019-01-01,62780
2020-01-01,59550
2021-01-01,59870
2022-01-01,58660
2023-01-01,60980
