observation_date,MEHOINUSNYA672N
1984-01-01,57910
1985-01-01,60100
1986-01-01,62600
1987-01-01,63840
1988-01-01,67470
1989-01-01,70400
1990-01-01,67340
1991-01-01,65390
1992-01-01,62290
1993-01-01,62040
1994-01-01,61100
1995-01-01,61800
1996-01-01,64560
1997-01-01,63900
1998-01-01,65850
1999-01-01,68990
2000-01-01,67950
2001-01-01,68680
2002-01-01,67600
2003-01-01,67520
2004-01-01,68730
2005-01-01,70580
2006-01-01,70110
2007-01-01,69380
2008-01-01,69000
2009-01-01,68940
2010-01-01,67420
2011-01-01,66510
2012-01-01,61440
2013-01-01,63620
2014-01-01,68180
2015-01-01,72870
2016-01-01,76500
2017-01-01,75310
2018-01-01,80700
2019-01-01,84940
2020-01-01,80320
2021-01-01,81660
2022-01-01,78920
2023-01-01,81600
