observation_date,MEHOINUSNCA672N
1984-01-01,54080
1985-01-01,54540
1986-01-01,54680
1987-01-01,55070
1988-01-01,56970
1989-01-01,59020
1990-01-01,56120
1991-01-01,55230
1992-01-01,55710
1993-01-01,56410
1994-01-01,57680
1995-01-01,59840
1996-01-01,64910
1997-01-01,63970
1998-01-01,63110
1999-01-01,64270
2000-01-01,63900
2001-01-01,62240
2002-01-01,58820
2003-01-01,58820
2004-01-01,61940
2005-01-01,62920
2006-01-01,57860
2007-01-01,61680
2008-01-01,58700
2009-01-01,57530
2010-01-01,59360
2011-01-01,59380
2012-01-01,53550
2013-01-01,59000
2014-01-01,58730
2015-01-01,63820
2016-01-01,66950
2017-01-01,60630
2018-01-01,64020
2019-01-01,72290
2020-01-01,70700
2021-01-01,70430
2022-01-01,67660
2023-01-01,68610
