observation_date,MEHOINUSORA672N
1984-01-01,56260
1985-01-01,55670
1986-01-01,61970
1987-01-01,60580
1988-01-01,64750
1989-01-01,63770
1990-01-01,62410
1991-01-01,62100
1992-01-01,64040
1993-01-01,64870
1994-01-01,60260
1995-01-01,68070
1996-01-01,64710
1997-01-01,66480
1998-01-01,68790
1999-01-01,70070
2000-01-01,70870
2001-01-01,67310
2002-01-01,67330
2003-01-01,65700
2004-01-01,63100
2005-01-01,66060
2006-01-01,68460
2007-01-01,71210
2008-01-01,70730
2009-01-01,67410
2010-01-01,68530
2011-01-01,67680
2012-01-01,66720
2013-01-01,62390
2014-01-01,73910
2015-01-01,76420
2016-01-01,73640
2017-01-01,76480
2018-01-01,82970
2019-01-01,87960
2020-01-01,89910
2021-01-01,91660
2022-01-01,90230
2023-01-01,88740
