observation_date,MEHOINUSRIA672N
1984-01-01,56820
1985-01-01,62610
1986-01-01,66390
1987-01-01,68460
1988-01-01,69630
1989-01-01,67330
1990-01-01,68140
1991-01-01,63420
1992-01-01,61040
1993-01-01,65590
1994-01-01,61160
1995-01-01,66170
1996-01-01,67430
1997-01-01,62110
1998-01-01,71640
1999-01-01,73700
2000-01-01,70370
2001-01-01,74570
2002-01-01,68330
2003-01-01,70550
2004-01-01,73790
2005-01-01,74030
2006-01-01,78120
2007-01-01,76840
2008-01-01,72800
2009-01-01,70890
2010-01-01,69910
2011-01-01,64410
2012-01-01,72250
2013-01-01,71710
2014-01-01,73600
2015-01-01,69980
2016-01-01,76620
2017-01-01,80030
2018-01-01,74690
2019-01-01,82920
2020-01-01,93790
2021-01-01,83970
2022-01-01,83860
2023-01-01,81860
