observation_date,MEHOINUSUTA672N
1984-01-01,60620
1985-01-01,64170
1986-01-01,65740
1987-01-01,64190
1988-01-01,61400
1989-01-01,68660
1990-01-01,64250
1991-01-01,57620
1992-01-01,68700
1993-01-01,70050
1994-01-01,68420
1995-01-01,68260
1996-01-01,67530
1997-01-01,76350
1998-01-01,78000
1999-01-01,79440
2000-01-01,79300
2001-01-01,77210
2002-01-01,77090
2003-01-01,77750
2004-01-01,78310
2005-01-01,82000
2006-01-01,79420
2007-01-01,75880
2008-01-01,85510
2009-01-01,80300
2010-01-01,76790
2011-01-01,72890
2012-01-01,75180
2013-01-01,77730
2014-01-01,79570
2015-01-01,83240
2016-01-01,84030
2017-01-01,85400
2018-01-01,92450
2019-01-01,99910
2020-01-01,98260
2021-01-01,98150
2022-01-01,99610
2023-01-01,101200
