observation_date,MEHOINUSVAA672N
1984-01-01,69740
1985-01-01,72280
1986-01-01,74330
1987-01-01,72580
1988-01-01,76180
1989-01-01,76260
1990-01-01,74760
1991-01-01,74330
1992-01-01,76620
1993-01-01,71310
1994-01-01,72110
1995-01-01,67780
1996-01-01,71490
1997-01-01,76670
1998-01-01,76340
1999-01-01,78830
2000-01-01,78650
2001-01-01,81940
2002-01-01,79950
2003-01-01,86440
2004-01-01,78720
2005-01-01,77670
2006-01-01,83040
2007-01-01,83860
2008-01-01,84760
2009-01-01,83060
2010-01-01,81750
2011-01-01,82250
2012-01-01,83290
2013-01-01,83910
2014-01-01,83050
2015-01-01,77240
2016-01-01,82750
2017-01-01,86650
2018-01-01,92550
2019-01-01,96120
2020-01-01,96180
2021-01-01,89890
2022-01-01,88550
2023-01-01,96490
