observation_date,MEHOINUSWAA672N
1984-01-01,65770
1985-01-01,61020
1986-01-01,67240
1987-01-01,66100
1988-01-01,75430
1989-01-01,71440
1990-01-01,68450
1991-01-01,69870
1992-01-01,68000
1993-01-01,69790
1994-01-01,64230
1995-01-01,66560
1996-01-01,66870
1997-01-01,79540
1998-01-01,83500
1999-01-01,78450
2000-01-01,70920
2001-01-01,69300
2002-01-01,72780
2003-01-01,74960
2004-01-01,76850
2005-01-01,75770
2006-01-01,79560
2007-01-01,82330
2008-01-01,77440
2009-01-01,82910
2010-01-01,76060
2011-01-01,74670
2012-01-01,80140
2013-01-01,81390
2014-01-01,74150
2015-01-01,84480
2016-01-01,87550
2017-01-01,87550
2018-01-01,95640
2019-01-01,97470
2020-01-01,95180
2021-01-01,98150
2022-01-01,92980
2023-01-01,93440
