observation_date,MEHOINUSWIA672N
1984-01-01,54530
1985-01-01,59110
1986-01-01,66110
1987-01-01,63800
1988-01-01,69010
1989-01-01,65100
1990-01-01,65460
1991-01-01,64040
1992-01-01,66810
1993-01-01,62180
1994-01-01,67790
1995-01-01,76640
1996-01-01,72930
1997-01-01,70670
1998-01-01,72770
1999-01-01,78780
2000-01-01,75190
2001-01-01,73950
2002-01-01,73940
2003-01-01,73010
2004-01-01,70400
2005-01-01,66800
2006-01-01,75150
2007-01-01,72690
2008-01-01,70010
2009-01-01,70340
2010-01-01,68190
2011-01-01,68380
2012-01-01,68400
2013-01-01,65860
2014-01-01,72910
2015-01-01,69630
2016-01-01,74490
2017-01-01,77690
2018-01-01,75130
2019-01-01,79620
2020-01-01,78860
2021-01-01,78320
2022-01-01,76240
2023-01-01,79690
