observation_date,AKPOP
1976-01-01,400.969
1977-01-01,403.436
1978-01-01,404.766
1979-01-01,402.753
1980-01-01,405.315
1981-01-01,418.491
1982-01-01,449.606
1983-01-01,488.417
1984-01-01,513.702
1985-01-01,532.495
1986-01-01,544.268
1987-01-01,539.309
1988-01-01,541.983
1989-01-01,547.159
1990-01-01,553.120
1991-01-01,569.273
1992-01-01,587.073
1993-01-01,596.993
1994-01-01,600.624
1995-01-01,601.345
1996-01-01,604.918
1997-01-01,608.846
1998-01-01,615.205
1999-01-01,619.500
2000-01-01,627.963
2001-01-01,633.714
2002-01-01,642.337
2003-01-01,648.414
2004-01-01,659.286
2005-01-01,666.946
2006-01-01,675.302
2007-01-01,680.300
2008-01-01,687.455
2009-01-01,698.895
2010-01-01,713.982
2011-01-01,722.349
2012-01-01,730.810
2013-01-01,737.626
2014-01-01,737.075
2015-01-01,738.430
2016-01-01,742.575
2017-01-01,740.983
2018-01-01,736.624
2019-01-01,733.603
2020-01-01,733.017
2021-01-01,734.420
2022-01-01,734.442
2023-01-01,736.510
2024-01-01,740.133
