observation_date,AZPOP
1976-01-01,2346.157
1977-01-01,2425.197
1978-01-01,2515.316
1979-01-01,2635.571
1980-01-01,2737.774
1981-01-01,2810.107
1982-01-01,2889.861
1983-01-01,2968.925
1984-01-01,3067.135
1985-01-01,3183.538
1986-01-01,3308.262
1987-01-01,3437.103
1988-01-01,3535.183
1989-01-01,3622.185
1990-01-01,3679.056
1991-01-01,3762.394
1992-01-01,3867.333
1993-01-01,3993.390
1994-01-01,4147.561
1995-01-01,4306.908
1996-01-01,4432.308
1997-01-01,4552.207
1998-01-01,4667.277
1999-01-01,4778.332
2000-01-01,5160.586
2001-01-01,5273.477
2002-01-01,5396.255
2003-01-01,5510.364
2004-01-01,5652.404
2005-01-01,5839.077
2006-01-01,6029.141
2007-01-01,6167.681
2008-01-01,6280.362
2009-01-01,6343.154
2010-01-01,6407.342
2011-01-01,6473.416
2012-01-01,6556.344
2013-01-01,6634.690
2014-01-01,6732.873
2015-01-01,6832.810
2016-01-01,6944.767
2017-01-01,7048.088
2018-01-01,7164.228
2019-01-01,7291.843
2020-01-01,7187.135
2021-01-01,7274.078
2022-01-01,7377.566
2023-01-01,7473.027
2024-01-01,7582.384
