observation_date,COPOP
1976-01-01,2632.306
1977-01-01,2696.140
1978-01-01,2766.748
1979-01-01,2849.234
1980-01-01,2908.803
1981-01-01,2977.898
1982-01-01,3061.564
1983-01-01,3133.630
1984-01-01,3169.992
1985-01-01,3208.723
1986-01-01,3237.450
1987-01-01,3260.480
1988-01-01,3262.281
1989-01-01,3275.818
1990-01-01,3303.862
1991-01-01,3367.567
1992-01-01,3459.995
1993-01-01,3560.884
1994-01-01,3653.910
1995-01-01,3738.061
1996-01-01,3812.716
1997-01-01,3891.293
1998-01-01,3968.967
1999-01-01,4056.133
2000-01-01,4326.921
2001-01-01,4425.687
2002-01-01,4490.406
2003-01-01,4528.732
2004-01-01,4575.013
2005-01-01,4631.888
2006-01-01,4720.423
2007-01-01,4803.868
2008-01-01,4889.730
2009-01-01,4972.195
2010-01-01,5047.539
2011-01-01,5121.900
2012-01-01,5193.660
2013-01-01,5270.774
2014-01-01,5352.637
2015-01-01,5454.328
2016-01-01,5543.844
2017-01-01,5617.421
2018-01-01,5697.155
2019-01-01,5758.486
2020-01-01,5787.129
2021-01-01,5814.036
2022-01-01,5850.935
2023-01-01,5901.339
2024-01-01,5957.493
