observation_date,CTPOP
1976-01-01,3083.335
1977-01-01,3085.722
1978-01-01,3091.627
1979-01-01,3095.917
1980-01-01,3113.174
1981-01-01,3128.836
1982-01-01,3139.013
1983-01-01,3162.354
1984-01-01,3180.014
1985-01-01,3201.131
1986-01-01,3223.740
1987-01-01,3247.291
1988-01-01,3271.953
1989-01-01,3283.403
1990-01-01,3289.056
1991-01-01,3288.640
1992-01-01,3274.997
1993-01-01,3272.325
1994-01-01,3268.346
1995-01-01,3265.293
1996-01-01,3267.030
1997-01-01,3268.514
1998-01-01,3272.563
1999-01-01,3282.031
2000-01-01,3411.777
2001-01-01,3432.835
2002-01-01,3458.749
2003-01-01,3484.336
2004-01-01,3496.094
2005-01-01,3506.956
2006-01-01,3517.460
2007-01-01,3527.270
2008-01-01,3545.579
2009-01-01,3561.807
2010-01-01,3579.173
2011-01-01,3588.632
2012-01-01,3595.211
2013-01-01,3595.792
2014-01-01,3595.697
2015-01-01,3588.561
2016-01-01,3579.830
2017-01-01,3575.324
2018-01-01,3574.561
2019-01-01,3566.022
2020-01-01,3579.918
2021-01-01,3606.607
2022-01-01,3617.925
2023-01-01,3643.023
2024-01-01,3675.069
