observation_date,DEPOP
1976-01-01,590.166
1977-01-01,591.829
1978-01-01,594.776
1979-01-01,594.984
1980-01-01,594.919
1981-01-01,595.975
1982-01-01,599.148
1983-01-01,605.458
1984-01-01,611.565
1985-01-01,618.280
1986-01-01,627.559
1987-01-01,636.947
1988-01-01,647.622
1989-01-01,658.273
1990-01-01,669.063
1991-01-01,680.495
1992-01-01,690.158
1993-01-01,699.475
1994-01-01,708.416
1995-01-01,718.265
1996-01-01,727.090
1997-01-01,735.024
1998-01-01,744.066
1999-01-01,753.538
2000-01-01,786.373
2001-01-01,795.699
2002-01-01,806.169
2003-01-01,818.003
2004-01-01,830.803
2005-01-01,845.150
2006-01-01,859.268
2007-01-01,871.749
2008-01-01,883.874
2009-01-01,891.730
2010-01-01,899.647
2011-01-01,907.590
2012-01-01,915.518
2013-01-01,924.062
2014-01-01,933.131
2015-01-01,942.065
2016-01-01,949.989
2017-01-01,957.942
2018-01-01,966.985
2019-01-01,976.668
2020-01-01,991.928
2021-01-01,1005.062
2022-01-01,1020.625
2023-01-01,1036.423
2024-01-01,1051.917
