observation_date,FLPOP
1976-01-01,8667.379
1977-01-01,8856.183
1978-01-01,9102.032
1979-01-01,9426.159
1980-01-01,9839.835
1981-01-01,10192.774
1982-01-01,10471.407
1983-01-01,10749.851
1984-01-01,11039.925
1985-01-01,11351.118
1986-01-01,11667.505
1987-01-01,11997.283
1988-01-01,12306.395
1989-01-01,12637.715
1990-01-01,13018.365
1991-01-01,13289.497
1992-01-01,13504.775
1993-01-01,13713.593
1994-01-01,13961.798
1995-01-01,14185.403
1996-01-01,14426.911
1997-01-01,14683.350
1998-01-01,14908.230
1999-01-01,15111.244
2000-01-01,16047.515
2001-01-01,16356.966
2002-01-01,16689.370
2003-01-01,17004.085
2004-01-01,17415.318
2005-01-01,17842.038
2006-01-01,18166.990
2007-01-01,18367.842
2008-01-01,18527.305
2009-01-01,18652.644
2010-01-01,18846.143
2011-01-01,19055.607
2012-01-01,19302.016
2013-01-01,19551.678
2014-01-01,19853.880
2015-01-01,20219.111
2016-01-01,20627.237
2017-01-01,20977.089
2018-01-01,21254.926
2019-01-01,21492.056
2020-01-01,21592.035
2021-01-01,21831.949
2022-01-01,22379.312
2023-01-01,22904.868
2024-01-01,23372.215
