observation_date,GAPOP
1976-01-01,5132.812
1977-01-01,5219.697
1978-01-01,5295.751
1979-01-01,5401.384
1980-01-01,5486.174
1981-01-01,5568.345
1982-01-01,5649.792
1983-01-01,5728.250
1984-01-01,5834.954
1985-01-01,5962.661
1986-01-01,6084.666
1987-01-01,6208.467
1988-01-01,6316.142
1989-01-01,6411.099
1990-01-01,6506.531
1991-01-01,6621.279
1992-01-01,6759.474
1993-01-01,6894.092
1994-01-01,7045.900
1995-01-01,7188.538
1996-01-01,7332.225
1997-01-01,7486.094
1998-01-01,7636.522
1999-01-01,7788.240
2000-01-01,8227.303
2001-01-01,8377.038
2002-01-01,8508.256
2003-01-01,8622.793
2004-01-01,8769.252
2005-01-01,8925.922
2006-01-01,9155.813
2007-01-01,9349.988
2008-01-01,9504.843
2009-01-01,9620.846
2010-01-01,9712.209
2011-01-01,9803.630
2012-01-01,9903.580
2013-01-01,9975.592
2014-01-01,10071.204
2015-01-01,10183.353
2016-01-01,10308.442
2017-01-01,10417.031
2018-01-01,10519.389
2019-01-01,10628.020
2020-01-01,10732.888
2021-01-01,10792.060
2022-01-01,10931.805
2023-01-01,11064.432
2024-01-01,11180.878
