observation_date,HIPOP
1976-01-01,904.191
1977-01-01,918.259
1978-01-01,931.584
1979-01-01,953.306
1980-01-01,967.710
1981-01-01,978.195
1982-01-01,993.780
1983-01-01,1012.717
1984-01-01,1027.922
1985-01-01,1039.698
1986-01-01,1051.762
1987-01-01,1067.918
1988-01-01,1079.828
1989-01-01,1094.588
1990-01-01,1112.703
1991-01-01,1131.412
1992-01-01,1149.926
1993-01-01,1161.508
1994-01-01,1173.903
1995-01-01,1180.490
1996-01-01,1184.434
1997-01-01,1189.322
1998-01-01,1190.472
1999-01-01,1185.497
2000-01-01,1213.519
2001-01-01,1225.948
2002-01-01,1239.613
2003-01-01,1251.154
2004-01-01,1273.569
2005-01-01,1292.729
2006-01-01,1309.731
2007-01-01,1315.675
2008-01-01,1332.213
2009-01-01,1346.717
2010-01-01,1364.004
2011-01-01,1379.562
2012-01-01,1395.199
2013-01-01,1408.822
2014-01-01,1415.335
2015-01-01,1422.999
2016-01-01,1428.885
2017-01-01,1425.763
2018-01-01,1423.102
2019-01-01,1415.615
2020-01-01,1451.252
2021-01-01,1447.029
2022-01-01,1440.359
2023-01-01,1441.387
2024-01-01,1446.146
