observation_date,IDPOP
1976-01-01,856.983
1977-01-01,883.469
1978-01-01,910.690
1979-01-01,932.627
1980-01-01,947.983
1981-01-01,962.204
1982-01-01,973.721
1983-01-01,981.869
1984-01-01,990.839
1985-01-01,994.051
1986-01-01,990.224
1987-01-01,984.997
1988-01-01,985.664
1989-01-01,994.416
1990-01-01,1011.882
1991-01-01,1038.915
1992-01-01,1066.490
1993-01-01,1101.204
1994-01-01,1135.459
1995-01-01,1165.000
1996-01-01,1187.706
1997-01-01,1210.638
1998-01-01,1230.923
1999-01-01,1251.700
2000-01-01,1299.430
2001-01-01,1319.962
2002-01-01,1340.372
2003-01-01,1363.380
2004-01-01,1391.802
2005-01-01,1428.241
2006-01-01,1468.669
2007-01-01,1505.105
2008-01-01,1534.320
2009-01-01,1554.439
2010-01-01,1570.819
2011-01-01,1584.272
2012-01-01,1595.910
2013-01-01,1612.053
2014-01-01,1632.248
2015-01-01,1652.495
2016-01-01,1684.036
2017-01-01,1719.745
2018-01-01,1752.074
2019-01-01,1789.060
2020-01-01,1849.415
2021-01-01,1904.848
2022-01-01,1944.299
2023-01-01,1971.122
2024-01-01,2001.619
