observation_date,IAPOP
1976-01-01,2903.082
1977-01-01,2913.573
1978-01-01,2918.069
1979-01-01,2915.739
1980-01-01,2914.018
1981-01-01,2907.983
1982-01-01,2888.189
1983-01-01,2870.543
1984-01-01,2858.618
1985-01-01,2829.684
1986-01-01,2791.970
1987-01-01,2767.011
1988-01-01,2768.388
1989-01-01,2770.592
1990-01-01,2779.769
1991-01-01,2791.227
1992-01-01,2806.923
1993-01-01,2820.525
1994-01-01,2829.422
1995-01-01,2840.860
1996-01-01,2848.473
1997-01-01,2854.396
1998-01-01,2861.025
1999-01-01,2869.413
2000-01-01,2929.067
2001-01-01,2931.997
2002-01-01,2934.234
2003-01-01,2941.999
2004-01-01,2953.635
2005-01-01,2964.454
2006-01-01,2982.644
2007-01-01,2999.212
2008-01-01,3016.734
2009-01-01,3032.870
2010-01-01,3050.819
2011-01-01,3066.772
2012-01-01,3076.844
2013-01-01,3093.935
2014-01-01,3110.643
2015-01-01,3122.541
2016-01-01,3133.210
2017-01-01,3143.734
2018-01-01,3149.900
2019-01-01,3159.596
2020-01-01,3191.141
2021-01-01,3198.613
2022-01-01,3202.820
2023-01-01,3218.414
2024-01-01,3241.488
