observation_date,KSPOP
1976-01-01,2301.001
1977-01-01,2320.647
1978-01-01,2335.657
1979-01-01,2350.906
1980-01-01,2369.039
1981-01-01,2384.849
1982-01-01,2401.202
1983-01-01,2415.531
1984-01-01,2424.086
1985-01-01,2427.405
1986-01-01,2432.619
1987-01-01,2445.367
1988-01-01,2461.996
1989-01-01,2472.849
1990-01-01,2480.683
1991-01-01,2495.209
1992-01-01,2526.042
1993-01-01,2547.605
1994-01-01,2569.118
1995-01-01,2586.942
1996-01-01,2598.266
1997-01-01,2616.339
1998-01-01,2638.667
1999-01-01,2654.052
2000-01-01,2693.681
2001-01-01,2702.162
2002-01-01,2713.535
2003-01-01,2723.004
2004-01-01,2734.373
2005-01-01,2745.299
2006-01-01,2762.931
2007-01-01,2783.785
2008-01-01,2808.076
2009-01-01,2832.704
2010-01-01,2858.266
2011-01-01,2869.677
2012-01-01,2886.024
2013-01-01,2894.306
2014-01-01,2901.861
2015-01-01,2910.717
2016-01-01,2912.977
2017-01-01,2910.892
2018-01-01,2912.748
2019-01-01,2912.635
2020-01-01,2938.172
2021-01-01,2938.338
2022-01-01,2937.324
2023-01-01,2951.500
2024-01-01,2970.606
