observation_date,LAPOP
1976-01-01,3950.605
1977-01-01,4014.459
1978-01-01,4068.579
1979-01-01,4137.665
1980-01-01,4223.101
1981-01-01,4283.303
1982-01-01,4352.608
1983-01-01,4395.316
1984-01-01,4400.477
1985-01-01,4408.118
1986-01-01,4406.919
1987-01-01,4344.148
1988-01-01,4288.863
1989-01-01,4252.894
1990-01-01,4219.179
1991-01-01,4240.950
1992-01-01,4270.849
1993-01-01,4284.749
1994-01-01,4306.500
1995-01-01,4327.978
1996-01-01,4338.763
1997-01-01,4351.390
1998-01-01,4362.758
1999-01-01,4372.035
2000-01-01,4471.885
2001-01-01,4477.875
2002-01-01,4497.267
2003-01-01,4521.042
2004-01-01,4552.238
2005-01-01,4576.628
2006-01-01,4302.665
2007-01-01,4375.581
2008-01-01,4435.586
2009-01-01,4491.648
2010-01-01,4544.635
2011-01-01,4576.244
2012-01-01,4602.067
2013-01-01,4626.040
2014-01-01,4645.938
2015-01-01,4666.998
2016-01-01,4681.346
2017-01-01,4673.673
2018-01-01,4664.450
2019-01-01,4658.285
2020-01-01,4652.301
2021-01-01,4627.971
2022-01-01,4593.687
2023-01-01,4588.071
2024-01-01,4597.740
