observation_date,MDPOP
1976-01-01,4150.539
1977-01-01,4169.595
1978-01-01,4183.603
1979-01-01,4191.160
1980-01-01,4227.643
1981-01-01,4261.905
1982-01-01,4282.923
1983-01-01,4313.327
1984-01-01,4365.243
1985-01-01,4413.071
1986-01-01,4486.957
1987-01-01,4565.557
1988-01-01,4657.904
1989-01-01,4727.301
1990-01-01,4797.431
1991-01-01,4856.176
1992-01-01,4902.545
1993-01-01,4942.504
1994-01-01,4985.411
1995-01-01,5023.650
1996-01-01,5057.142
1997-01-01,5092.914
1998-01-01,5130.072
1999-01-01,5171.634
2000-01-01,5311.034
2001-01-01,5374.691
2002-01-01,5440.389
2003-01-01,5496.269
2004-01-01,5546.935
2005-01-01,5592.379
2006-01-01,5627.367
2007-01-01,5653.408
2008-01-01,5684.965
2009-01-01,5730.388
2010-01-01,5788.784
2011-01-01,5840.241
2012-01-01,5888.375
2013-01-01,5925.197
2014-01-01,5960.064
2015-01-01,5988.528
2016-01-01,6007.014
2017-01-01,6028.186
2018-01-01,6042.153
2019-01-01,6054.954
2020-01-01,6177.935
2021-01-01,6179.403
2022-01-01,6192.440
2023-01-01,6217.062
2024-01-01,6263.220
