observation_date,MAPOP
1976-01-01,5743.672
1977-01-01,5738.199
1978-01-01,5736.469
1979-01-01,5738.404
1980-01-01,5746.075
1981-01-01,5768.685
1982-01-01,5771.222
1983-01-01,5799.407
1984-01-01,5840.773
1985-01-01,5880.733
1986-01-01,5902.678
1987-01-01,5935.204
1988-01-01,5979.982
1989-01-01,6015.478
1990-01-01,6018.664
1991-01-01,5998.652
1992-01-01,5993.474
1993-01-01,6010.884
1994-01-01,6031.352
1995-01-01,6062.335
1996-01-01,6085.393
1997-01-01,6115.476
1998-01-01,6144.407
1999-01-01,6175.169
2000-01-01,6361.104
2001-01-01,6397.634
2002-01-01,6417.206
2003-01-01,6422.565
2004-01-01,6412.281
2005-01-01,6403.290
2006-01-01,6410.084
2007-01-01,6431.559
2008-01-01,6468.967
2009-01-01,6517.613
2010-01-01,6566.440
2011-01-01,6614.218
2012-01-01,6664.269
2013-01-01,6715.158
2014-01-01,6764.864
2015-01-01,6797.484
2016-01-01,6827.280
2017-01-01,6863.560
2018-01-01,6885.720
2019-01-01,6894.883
2020-01-01,6994.598
2021-01-01,7000.474
2022-01-01,7022.468
2023-01-01,7066.568
2024-01-01,7136.171
