observation_date,MIPOP
1976-01-01,9129.205
1977-01-01,9171.110
1978-01-01,9217.761
1979-01-01,9266.268
1980-01-01,9255.553
1981-01-01,9209.287
1982-01-01,9115.198
1983-01-01,9047.754
1984-01-01,9049.452
1985-01-01,9076.293
1986-01-01,9127.775
1987-01-01,9187.481
1988-01-01,9217.998
1989-01-01,9253.295
1990-01-01,9310.462
1991-01-01,9395.022
1992-01-01,9470.323
1993-01-01,9529.240
1994-01-01,9584.481
1995-01-01,9659.871
1996-01-01,9739.184
1997-01-01,9785.450
1998-01-01,9820.231
1999-01-01,9863.775
2000-01-01,9952.450
2001-01-01,9991.120
2002-01-01,10015.710
2003-01-01,10041.152
2004-01-01,10055.315
2005-01-01,10051.137
2006-01-01,10036.081
2007-01-01,10001.284
2008-01-01,9946.889
2009-01-01,9901.591
2010-01-01,9877.597
2011-01-01,9883.053
2012-01-01,9898.289
2013-01-01,9914.802
2014-01-01,9932.033
2015-01-01,9934.483
2016-01-01,9954.117
2017-01-01,9976.752
2018-01-01,9987.286
2019-01-01,9984.795
2020-01-01,10072.703
2021-01-01,10041.351
2022-01-01,10050.877
2023-01-01,10083.356
2024-01-01,10140.459
