observation_date,MSPOP
1976-01-01,2429.756
1977-01-01,2459.201
1978-01-01,2487.816
1979-01-01,2507.069
1980-01-01,2525.342
1981-01-01,2539.036
1982-01-01,2556.777
1983-01-01,2567.717
1984-01-01,2578.051
1985-01-01,2588.102
1986-01-01,2593.597
1987-01-01,2588.545
1988-01-01,2580.352
1989-01-01,2574.269
1990-01-01,2577.426
1991-01-01,2591.230
1992-01-01,2610.193
1993-01-01,2635.574
1994-01-01,2663.450
1995-01-01,2690.788
1996-01-01,2709.925
1997-01-01,2731.826
1998-01-01,2751.335
1999-01-01,2768.619
2000-01-01,2848.353
2001-01-01,2852.994
2002-01-01,2858.681
2003-01-01,2868.312
2004-01-01,2889.010
2005-01-01,2905.943
2006-01-01,2904.978
2007-01-01,2928.350
2008-01-01,2947.806
2009-01-01,2958.774
2010-01-01,2970.615
2011-01-01,2979.147
2012-01-01,2984.599
2013-01-01,2989.839
2014-01-01,2991.892
2015-01-01,2990.231
2016-01-01,2990.595
2017-01-01,2990.674
2018-01-01,2982.879
2019-01-01,2978.227
2020-01-01,2958.536
2021-01-01,2947.209
2022-01-01,2941.939
2023-01-01,2943.172
2024-01-01,2943.045
