observation_date,NEPOP
1976-01-01,1550.911
1977-01-01,1556.842
1978-01-01,1563.884
1979-01-01,1567.344
1980-01-01,1572.296
1981-01-01,1578.515
1982-01-01,1581.780
1983-01-01,1584.293
1984-01-01,1588.639
1985-01-01,1584.664
1986-01-01,1574.333
1987-01-01,1566.547
1988-01-01,1571.477
1989-01-01,1574.864
1990-01-01,1580.664
1991-01-01,1590.805
1992-01-01,1602.406
1993-01-01,1612.149
1994-01-01,1621.551
1995-01-01,1635.142
1996-01-01,1647.657
1997-01-01,1656.042
1998-01-01,1660.772
1999-01-01,1666.028
2000-01-01,1713.820
2001-01-01,1719.836
2002-01-01,1728.292
2003-01-01,1738.643
2004-01-01,1749.370
2005-01-01,1761.497
2006-01-01,1772.693
2007-01-01,1783.440
2008-01-01,1796.378
2009-01-01,1812.683
2010-01-01,1829.591
2011-01-01,1840.914
2012-01-01,1853.691
2013-01-01,1865.813
2014-01-01,1879.955
2015-01-01,1892.059
2016-01-01,1906.483
2017-01-01,1916.998
2018-01-01,1925.512
2019-01-01,1932.571
2020-01-01,1963.387
2021-01-01,1964.537
2022-01-01,1972.246
2023-01-01,1987.864
2024-01-01,2005.465
