observation_date,NYPOP
1976-01-01,17940.541
1977-01-01,17812.602
1978-01-01,17680.589
1979-01-01,17583.838
1980-01-01,17566.754
1981-01-01,17567.734
1982-01-01,17589.738
1983-01-01,17686.905
1984-01-01,17745.684
1985-01-01,17791.672
1986-01-01,17833.419
1987-01-01,17868.848
1988-01-01,17941.309
1989-01-01,17983.086
1990-01-01,18002.855
1991-01-01,18029.532
1992-01-01,18082.032
1993-01-01,18140.894
1994-01-01,18156.652
1995-01-01,18150.928
1996-01-01,18143.805
1997-01-01,18143.184
1998-01-01,18159.175
1999-01-01,18196.601
2000-01-01,19001.780
2001-01-01,19082.838
2002-01-01,19137.800
2003-01-01,19175.939
2004-01-01,19171.567
2005-01-01,19132.610
2006-01-01,19104.631
2007-01-01,19132.335
2008-01-01,19212.436
2009-01-01,19307.066
2010-01-01,19399.956
2011-01-01,19499.921
2012-01-01,19574.362
2013-01-01,19626.488
2014-01-01,19653.431
2015-01-01,19657.321
2016-01-01,19636.391
2017-01-01,19593.849
2018-01-01,19544.098
2019-01-01,19463.131
2020-01-01,20105.171
2021-01-01,19848.276
2022-01-01,19703.747
2023-01-01,19737.367
2024-01-01,19867.248
