observation_date,NDPOP
1976-01-01,645.797
1977-01-01,649.769
1978-01-01,651.301
1979-01-01,652.896
1980-01-01,654.380
1981-01-01,659.505
1982-01-01,668.972
1983-01-01,676.688
1984-01-01,680.497
1985-01-01,676.980
1986-01-01,669.512
1987-01-01,661.136
1988-01-01,655.331
1989-01-01,646.351
1990-01-01,637.364
1991-01-01,634.199
1992-01-01,635.427
1993-01-01,637.229
1994-01-01,639.762
1995-01-01,641.548
1996-01-01,642.858
1997-01-01,640.945
1998-01-01,637.808
1999-01-01,633.666
2000-01-01,642.023
2001-01-01,639.062
2002-01-01,638.168
2003-01-01,638.817
2004-01-01,644.705
2005-01-01,646.089
2006-01-01,649.422
2007-01-01,652.822
2008-01-01,657.569
2009-01-01,664.968
2010-01-01,674.752
2011-01-01,685.526
2012-01-01,702.227
2013-01-01,723.149
2014-01-01,738.736
2015-01-01,755.537
2016-01-01,756.114
2017-01-01,756.755
2018-01-01,760.062
2019-01-01,763.724
2020-01-01,779.563
2021-01-01,777.966
2022-01-01,781.057
2023-01-01,789.047
2024-01-01,796.568
