observation_date,OHPOP
1976-01-01,10752.662
1977-01-01,10771.394
1978-01-01,10795.581
1979-01-01,10798.298
1980-01-01,10800.650
1981-01-01,10788.330
1982-01-01,10757.087
1983-01-01,10737.632
1984-01-01,10737.746
1985-01-01,10734.926
1986-01-01,10730.268
1987-01-01,10760.090
1988-01-01,10798.552
1989-01-01,10829.217
1990-01-01,10861.837
1991-01-01,10933.683
1992-01-01,11007.609
1993-01-01,11070.385
1994-01-01,11111.451
1995-01-01,11155.493
1996-01-01,11187.032
1997-01-01,11212.498
1998-01-01,11237.752
1999-01-01,11256.654
2000-01-01,11363.543
2001-01-01,11387.404
2002-01-01,11407.889
2003-01-01,11434.788
2004-01-01,11452.251
2005-01-01,11463.320
2006-01-01,11481.213
2007-01-01,11500.468
2008-01-01,11515.391
2009-01-01,11528.896
2010-01-01,11539.449
2011-01-01,11545.735
2012-01-01,11550.971
2013-01-01,11579.692
2014-01-01,11606.573
2015-01-01,11622.315
2016-01-01,11640.060
2017-01-01,11665.706
2018-01-01,11680.892
2019-01-01,11696.507
2020-01-01,11798.905
2021-01-01,11767.344
2022-01-01,11777.874
2023-01-01,11824.034
2024-01-01,11883.304
