observation_date,OKPOP
1976-01-01,2826.815
1977-01-01,2870.014
1978-01-01,2917.336
1979-01-01,2975.310
1980-01-01,3040.758
1981-01-01,3096.164
1982-01-01,3206.123
1983-01-01,3290.402
1984-01-01,3285.533
1985-01-01,3271.332
1986-01-01,3252.735
1987-01-01,3210.122
1988-01-01,3167.057
1989-01-01,3150.307
1990-01-01,3147.105
1991-01-01,3166.471
1992-01-01,3204.174
1993-01-01,3228.829
1994-01-01,3246.119
1995-01-01,3265.547
1996-01-01,3289.634
1997-01-01,3314.259
1998-01-01,3339.478
1999-01-01,3358.044
2000-01-01,3454.365
2001-01-01,3467.100
2002-01-01,3489.080
2003-01-01,3504.892
2004-01-01,3525.233
2005-01-01,3548.597
2006-01-01,3594.090
2007-01-01,3634.349
2008-01-01,3668.976
2009-01-01,3717.572
2010-01-01,3760.014
2011-01-01,3788.824
2012-01-01,3819.320
2013-01-01,3853.891
2014-01-01,3879.187
2015-01-01,3910.518
2016-01-01,3928.143
2017-01-01,3933.602
2018-01-01,3943.488
2019-01-01,3960.676
2020-01-01,3965.415
2021-01-01,3992.238
2022-01-01,4026.229
2023-01-01,4063.882
2024-01-01,4095.393
