observation_date,SCPOP
1976-01-01,2943.657
1977-01-01,2991.681
1978-01-01,3044.364
1979-01-01,3090.267
1980-01-01,3134.502
1981-01-01,3179.255
1982-01-01,3207.614
1983-01-01,3234.066
1984-01-01,3271.868
1985-01-01,3303.209
1986-01-01,3342.758
1987-01-01,3380.506
1988-01-01,3412.096
1989-01-01,3456.775
1990-01-01,3499.064
1991-01-01,3559.470
1992-01-01,3600.576
1993-01-01,3634.507
1994-01-01,3666.456
1995-01-01,3699.943
1996-01-01,3738.974
1997-01-01,3790.066
1998-01-01,3839.578
1999-01-01,3885.736
2000-01-01,4024.223
2001-01-01,4064.995
2002-01-01,4107.795
2003-01-01,4150.297
2004-01-01,4210.921
2005-01-01,4270.150
2006-01-01,4357.847
2007-01-01,4444.110
2008-01-01,4528.996
2009-01-01,4589.872
2010-01-01,4635.846
2011-01-01,4672.655
2012-01-01,4719.027
2013-01-01,4766.469
2014-01-01,4826.858
2015-01-01,4896.006
2016-01-01,4963.031
2017-01-01,5027.102
2018-01-01,5091.702
2019-01-01,5157.702
2020-01-01,5132.249
2021-01-01,5194.274
2022-01-01,5287.935
2023-01-01,5387.830
2024-01-01,5478.831
