observation_date,SDPOP
1976-01-01,686.390
1977-01-01,688.480
1978-01-01,688.580
1979-01-01,688.335
1980-01-01,690.851
1981-01-01,689.584
1982-01-01,690.597
1983-01-01,693.008
1984-01-01,697.249
1985-01-01,698.402
1986-01-01,696.034
1987-01-01,696.036
1988-01-01,698.165
1989-01-01,696.701
1990-01-01,696.667
1991-01-01,701.445
1992-01-01,708.698
1993-01-01,716.258
1994-01-01,723.038
1995-01-01,728.251
1996-01-01,730.699
1997-01-01,730.855
1998-01-01,730.789
1999-01-01,733.133
2000-01-01,755.844
2001-01-01,757.972
2002-01-01,760.020
2003-01-01,763.729
2004-01-01,770.396
2005-01-01,775.493
2006-01-01,783.033
2007-01-01,791.623
2008-01-01,799.124
2009-01-01,807.067
2010-01-01,816.193
2011-01-01,823.740
2012-01-01,833.859
2013-01-01,842.751
2014-01-01,849.670
2015-01-01,854.663
2016-01-01,863.693
2017-01-01,873.732
2018-01-01,879.386
2019-01-01,887.127
2020-01-01,887.948
2021-01-01,896.492
2022-01-01,909.723
2023-01-01,918.305
2024-01-01,924.669
