observation_date,TXPOP
1976-01-01,12904.089
1977-01-01,13193.050
1978-01-01,13500.429
1979-01-01,13888.371
1980-01-01,14338.208
1981-01-01,14746.318
1982-01-01,15331.415
1983-01-01,15751.676
1984-01-01,16007.086
1985-01-01,16272.734
1986-01-01,16561.113
1987-01-01,16621.791
1988-01-01,16667.022
1989-01-01,16806.735
1990-01-01,17044.714
1991-01-01,17339.904
1992-01-01,17650.479
1993-01-01,17996.764
1994-01-01,18338.319
1995-01-01,18679.706
1996-01-01,19006.240
1997-01-01,19355.427
1998-01-01,19712.389
1999-01-01,20044.141
2000-01-01,20944.499
2001-01-01,21319.622
2002-01-01,21690.325
2003-01-01,22030.931
2004-01-01,22394.023
2005-01-01,22778.123
2006-01-01,23359.580
2007-01-01,23831.983
2008-01-01,24309.039
2009-01-01,24801.761
2010-01-01,25241.897
2011-01-01,25645.504
2012-01-01,26084.120
2013-01-01,26479.646
2014-01-01,26963.092
2015-01-01,27468.531
2016-01-01,27914.064
2017-01-01,28291.024
2018-01-01,28624.564
2019-01-01,28986.794
2020-01-01,29239.570
2021-01-01,29570.351
2022-01-01,30113.488
2023-01-01,30727.890
2024-01-01,31290.831
