observation_date,UTPOP
1976-01-01,1274.928
1977-01-01,1319.512
1978-01-01,1367.510
1979-01-01,1420.238
1980-01-01,1472.595
1981-01-01,1515.471
1982-01-01,1558.314
1983-01-01,1594.943
1984-01-01,1622.342
1985-01-01,1642.910
1986-01-01,1662.834
1987-01-01,1678.119
1988-01-01,1689.372
1989-01-01,1705.864
1990-01-01,1729.722
1991-01-01,1771.941
1992-01-01,1821.498
1993-01-01,1875.993
1994-01-01,1930.436
1995-01-01,1976.774
1996-01-01,2022.253
1997-01-01,2065.397
1998-01-01,2100.562
1999-01-01,2129.836
2000-01-01,2244.502
2001-01-01,2283.715
2002-01-01,2324.815
2003-01-01,2360.137
2004-01-01,2401.580
2005-01-01,2457.719
2006-01-01,2525.507
2007-01-01,2597.746
2008-01-01,2663.029
2009-01-01,2723.421
2010-01-01,2775.413
2011-01-01,2814.797
2012-01-01,2854.146
2013-01-01,2898.773
2014-01-01,2938.327
2015-01-01,2983.626
2016-01-01,3044.241
2017-01-01,3103.540
2018-01-01,3155.153
2019-01-01,3203.383
2020-01-01,3284.077
2021-01-01,3339.738
2022-01-01,3391.011
2023-01-01,3443.222
2024-01-01,3503.613
