observation_date,VAPOP
1976-01-01,5121.863
1977-01-01,5193.112
1978-01-01,5270.240
1979-01-01,5307.945
1980-01-01,5368.334
1981-01-01,5444.097
1982-01-01,5492.783
1983-01-01,5564.657
1984-01-01,5643.870
1985-01-01,5715.153
1986-01-01,5811.700
1987-01-01,5932.268
1988-01-01,6036.909
1989-01-01,6120.246
1990-01-01,6213.526
1991-01-01,6283.853
1992-01-01,6383.315
1993-01-01,6464.795
1994-01-01,6536.771
1995-01-01,6601.392
1996-01-01,6665.491
1997-01-01,6732.878
1998-01-01,6789.225
1999-01-01,6872.912
2000-01-01,7105.817
2001-01-01,7198.362
2002-01-01,7286.873
2003-01-01,7366.977
2004-01-01,7475.575
2005-01-01,7577.105
2006-01-01,7673.725
2007-01-01,7751.000
2008-01-01,7833.496
2009-01-01,7925.937
2010-01-01,8024.004
2011-01-01,8102.437
2012-01-01,8187.456
2013-01-01,8255.861
2014-01-01,8315.430
2015-01-01,8367.303
2016-01-01,8417.651
2017-01-01,8471.011
2018-01-01,8510.920
2019-01-01,8556.642
2020-01-01,8637.615
2021-01-01,8658.910
2022-01-01,8683.414
2023-01-01,8734.685
2024-01-01,8811.195
