observation_date,WAPOP
1976-01-01,3693.610
1977-01-01,3776.050
1978-01-01,3889.073
1979-01-01,4017.632
1980-01-01,4154.678
1981-01-01,4235.731
1982-01-01,4276.552
1983-01-01,4300.266
1984-01-01,4343.656
1985-01-01,4400.098
1986-01-01,4452.720
1987-01-01,4531.901
1988-01-01,4639.893
1989-01-01,4746.316
1990-01-01,4900.780
1991-01-01,5013.443
1992-01-01,5139.011
1993-01-01,5247.704
1994-01-01,5334.896
1995-01-01,5431.024
1996-01-01,5509.963
1997-01-01,5604.105
1998-01-01,5687.832
1999-01-01,5756.361
2000-01-01,5910.512
2001-01-01,5985.722
2002-01-01,6052.349
2003-01-01,6104.115
2004-01-01,6178.645
2005-01-01,6257.305
2006-01-01,6370.753
2007-01-01,6461.587
2008-01-01,6562.231
2009-01-01,6667.426
2010-01-01,6743.009
2011-01-01,6827.479
2012-01-01,6898.599
2013-01-01,6966.252
2014-01-01,7057.531
2015-01-01,7167.287
2016-01-01,7299.961
2017-01-01,7427.951
2018-01-01,7526.793
2019-01-01,7614.024
2020-01-01,7727.209
2021-01-01,7743.760
2022-01-01,7794.123
2023-01-01,7857.320
2024-01-01,7958.180
