observation_date,WVPOP
1976-01-01,1879.503
1977-01-01,1908.088
1978-01-01,1923.395
1979-01-01,1942.146
1980-01-01,1951.349
1981-01-01,1954.124
1982-01-01,1949.604
1983-01-01,1945.061
1984-01-01,1927.697
1985-01-01,1906.831
1986-01-01,1882.350
1987-01-01,1857.585
1988-01-01,1830.215
1989-01-01,1806.568
1990-01-01,1792.481
1991-01-01,1798.212
1992-01-01,1805.462
1993-01-01,1816.179
1994-01-01,1818.490
1995-01-01,1820.560
1996-01-01,1818.983
1997-01-01,1815.588
1998-01-01,1811.688
1999-01-01,1806.928
2000-01-01,1807.021
2001-01-01,1801.481
2002-01-01,1805.414
2003-01-01,1812.295
2004-01-01,1816.438
2005-01-01,1820.492
2006-01-01,1827.912
2007-01-01,1834.052
2008-01-01,1840.310
2009-01-01,1847.775
2010-01-01,1854.265
2011-01-01,1856.606
2012-01-01,1857.446
2013-01-01,1854.768
2014-01-01,1850.569
2015-01-01,1843.332
2016-01-01,1832.435
2017-01-01,1818.683
2018-01-01,1805.953
2019-01-01,1795.263
2020-01-01,1791.646
2021-01-01,1785.618
2022-01-01,1774.122
2023-01-01,1770.495
2024-01-01,1769.979
