observation_date,WIPOP
1976-01-01,4595.904
1977-01-01,4626.514
1978-01-01,4646.108
1979-01-01,4682.811
1980-01-01,4712.045
1981-01-01,4726.343
1982-01-01,4728.870
1983-01-01,4721.438
1984-01-01,4735.563
1985-01-01,4747.767
1986-01-01,4755.618
1987-01-01,4777.919
1988-01-01,4822.388
1989-01-01,4856.574
1990-01-01,4902.265
1991-01-01,4952.675
1992-01-01,5004.636
1993-01-01,5055.318
1994-01-01,5095.504
1995-01-01,5137.004
1996-01-01,5173.828
1997-01-01,5200.235
1998-01-01,5222.124
1999-01-01,5250.446
2000-01-01,5373.999
2001-01-01,5406.835
2002-01-01,5445.162
2003-01-01,5479.203
2004-01-01,5514.026
2005-01-01,5546.166
2006-01-01,5577.655
2007-01-01,5610.775
2008-01-01,5640.996
2009-01-01,5669.264
2010-01-01,5690.538
2011-01-01,5705.840
2012-01-01,5720.825
2013-01-01,5738.012
2014-01-01,5753.199
2015-01-01,5762.927
2016-01-01,5775.170
2017-01-01,5793.147
2018-01-01,5809.319
2019-01-01,5824.581
2020-01-01,5897.375
2021-01-01,5881.608
2022-01-01,5903.975
2023-01-01,5930.405
2024-01-01,5960.975
