date,claims,unrate,cpi,unrest_events
1997-01-31,1356000.0,5.3,159.4,31
1997-02-28,1283000.0,5.2,159.7,30
1997-03-31,1597000.0,5.2,159.8,40
1997-04-30,1308000.0,5.1,159.9,41
1997-05-31,1619000.0,4.9,159.9,27
1997-06-30,1302000.0,5.0,160.2,40
1997-07-31,1281000.0,4.9,160.4,30
1997-08-31,1651000.0,4.8,160.8,31
1997-09-30,1261000.0,4.9,161.2,41
1997-10-31,1240000.0,4.7,161.5,55
1997-11-30,1573000.0,4.6,161.7,41
1997-12-31,1253000.0,4.7,161.8,24
1998-01-31,1606000.0,4.6,162.0,44
1998-02-28,1276000.0,4.6,162.0,72
1998-03-31,1260000.0,4.7,162.0,56
1998-04-30,1244000.0,4.3,162.2,38
1998-05-31,1556000.0,4.4,162.6,38
1998-06-30,1352000.0,4.5,162.8,45
1998-07-31,1332000.0,4.5,163.2,24
1998-08-31,1563000.0,4.5,163.4,42
1998-09-30,1216000.0,4.6,163.5,34
1998-10-31,1553000.0,4.5,163.9,41
1998-11-30,1264000.0,4.4,164.1,60
1998-12-31,1264000.0,4.4,164.4,65
1999-01-31,1631000.0,4.3,164.7,58
1999-02-28,1206000.0,4.4,164.7,54
1999-03-31,1211000.0,4.2,164.8,64
1999-04-30,1234000.0,4.3,165.9,57
1999-05-31,1508000.0,4.2,166.0,55
1999-06-30,1176000.0,4.3,166.0,45
1999-07-31,1490000.0,4.3,166.7,43
1999-08-31,1163000.0,4.2,167.1,49
1999-09-30,1158000.0,4.2,167.8,44
1999-10-31,1452000.0,4.1,168.1,38
1999-11-30,1127000.0,4.1,168.4,60
1999-12-31,1114000.0,4.0,168.8,49
2000-01-31,1442000.0,4.0,169.3,47
2000-02-29,1175000.0,4.1,170.0,63
2000-03-31,1099000.0,4.0,171.0,53
2000-04-30,1358000.0,3.8,170.9,64
2000-05-31,1129000.0,4.0,171.2,42
2000-06-30,1164000.0,4.0,172.2,61
2000-07-31,1475000.0,4.0,172.7,41
2000-08-31,1251000.0,4.1,172.7,42
2000-09-30,1501000.0,3.9,173.6,62
2000-10-31,1204000.0,3.9,173.9,42
2000-11-30,1337000.0,3.9,174.2,80
2000-12-31,1730000.0,3.9,174.6,68
2001-01-31,1360000.0,4.2,175.6,52
2001-02-28,1485000.0,4.2,176.0,56
2001-03-31,1936000.0,4.3,176.1,54
2001-04-30,1587000.0,4.4,176.4,56
2001-05-31,1578000.0,4.3,177.3,67
2001-06-30,1986000.0,4.5,177.7,62
2001-07-31,1592000.0,4.6,177.4,63
2001-08-31,1592000.0,4.9,177.4,53
2001-09-30,2175000.0,5.0,178.1,100
2001-10-31,1923000.0,5.3,177.6,110
2001-11-30,1790000.0,5.5,177.5,74
2001-12-31,2084000.0,5.7,177.4,76
2002-01-31,1634000.0,5.7,177.7,72
2002-02-28,1596000.0,5.7,178.0,66
2002-03-31,2077000.0,5.7,178.5,64
2002-04-30,1717000.0,5.9,179.3,56
2002-05-31,1636000.0,5.8,179.5,43
2002-06-30,1936000.0,5.8,179.6,46
2002-07-31,1544000.0,5.8,180.0,63
2002-08-31,1968000.0,5.7,180.5,59
2002-09-30,1638000.0,5.7,180.8,58
2002-10-31,1630000.0,5.7,181.2,59
2002-11-30,1961000.0,5.9,181.5,77
2002-12-31,1657000.0,6.0,181.8,83
2003-01-31,1580000.0,5.8,182.6,104
2003-02-28,1644000.0,5.9,183.6,115
2003-03-31,2137000.0,5.9,183.9,166
2003-04-30,1745000.0,6.0,183.2,120
2003-05-31,2120000.0,6.1,182.9,79
2003-06-30,1687000.0,6.3,183.1,62
2003-07-31,1646000.0,6.2,183.7,80
2003-08-31,2001000.0,6.1,184.5,53
2003-09-30,1582000.0,6.1,185.1,93
2003-10-31,1528000.0,6.0,184.9,106
2003-11-30,1815000.0,5.8,185.0,80
2003-12-31,1433000.0,5.7,185.5,55
2004-01-31,1801000.0,5.7,186.3,85
2004-02-29,1443000.0,5.6,186.7,68
2004-03-31,1368000.0,5.8,187.1,68
2004-04-30,1393000.0,5.6,187.4,67
2004-05-31,1681000.0,5.6,188.2,87
2004-06-30,1396000.0,5.6,188.9,65
2004-07-31,1715000.0,5.5,189.1,61
2004-08-31,1363000.0,5.4,189.2,47
2004-09-30,1349000.0,5.4,189.8,42
2004-10-31,1670000.0,5.5,190.8,61
2004-11-30,1315000.0,5.4,191.7,63
2004-12-31,1301000.0,5.4,191.7,43
2005-01-31,1717000.0,5.3,191.6,55
2005-02-28,1247000.0,5.4,192.4,45
2005-03-31,1328000.0,5.2,193.1,51
2005-04-30,1616000.0,5.2,193.7,40
2005-05-31,1308000.0,5.1,193.6,56
2005-06-30,1303000.0,5.0,193.7,48
2005-07-31,1622000.0,5.0,194.9,36
2005-08-31,1263000.0,4.9,196.1,51
2005-09-30,1531000.0,5.0,198.8,64
2005-10-31,1761000.0,5.0,199.1,55
2005-11-30,1269000.0,5.0,198.1,69
2005-12-31,1582000.0,4.9,198.1,52
2006-01-31,1183000.0,4.7,199.3,54
2006-02-28,1163000.0,4.8,199.4,86
2006-03-31,1207000.0,4.7,199.7,196
2006-04-30,1518000.0,4.7,200.7,134
2006-05-31,1331000.0,4.6,201.3,151
2006-06-30,1222000.0,4.6,201.8,161
2006-07-31,1594000.0,4.7,202.9,124
2006-08-31,1257000.0,4.7,203.8,179
2006-09-30,1581000.0,4.5,202.8,187
2006-10-31,1262000.0,4.4,201.9,126
2006-11-30,1305000.0,4.5,202.0,181
2006-12-31,1620000.0,4.4,203.1,154
2007-01-31,1269000.0,4.6,203.437,170
2007-02-28,1291000.0,4.5,204.226,192
2007-03-31,1547000.0,4.4,205.288,244
2007-04-30,1281000.0,4.5,205.904,304
2007-05-31,1217000.0,4.4,206.755,362
2007-06-30,1576000.0,4.6,207.234,274
2007-07-31,1253000.0,4.7,207.603,253
2007-08-31,1280000.0,4.6,207.667,218
2007-09-30,1567000.0,4.7,208.547,276
2007-10-31,1313000.0,4.7,209.19,358
2007-11-30,1344000.0,4.7,210.834,316
2007-12-31,1741000.0,5.0,211.445,247
2008-01-31,1355000.0,5.0,212.174,468
2008-02-29,1387000.0,4.9,212.687,462
2008-03-31,1817000.0,5.1,213.448,409
2008-04-30,1438000.0,5.0,213.942,370
2008-05-31,1834000.0,5.4,215.208,430
2008-06-30,1533000.0,5.6,217.463,356
2008-07-31,1592000.0,5.8,219.016,342
2008-08-31,2165000.0,6.1,218.69,306
2008-09-30,1856000.0,6.1,218.877,237
2008-10-31,1901000.0,6.5,216.995,428
2008-11-30,2599000.0,6.8,213.153,409
2008-12-31,2256000.0,7.3,211.398,349
2009-01-31,2860000.0,7.8,211.933,384
2009-02-28,2576000.0,8.3,212.705,397
2009-03-31,2637000.0,8.7,212.495,502
2009-04-30,2511000.0,9.0,212.709,545
2009-05-31,3060000.0,9.4,213.022,519
2009-06-30,2393000.0,9.5,214.79,503
2009-07-31,2266000.0,9.5,214.726,380
2009-08-31,2796000.0,9.6,215.445,623
2009-09-30,2190000.0,9.8,215.861,665
2009-10-31,2627000.0,10.0,216.509,631
2009-11-30,1976000.0,9.9,217.234,521
2009-12-31,1942000.0,9.9,217.347,544
2010-01-31,2399000.0,9.8,217.488,611
2010-02-28,1943000.0,9.8,217.281,548
2010-03-31,1881000.0,9.9,217.353,250
2010-04-30,1876000.0,9.9,217.403,374
2010-05-31,2297000.0,9.6,217.29,354
2010-06-30,1842000.0,9.4,217.199,344
2010-07-31,2296000.0,9.4,217.605,467
2010-08-31,1900000.0,9.5,217.923,913
2010-09-30,1814000.0,9.5,218.275,1073
2010-10-31,2234000.0,9.4,219.035,811
2010-11-30,1705000.0,9.8,219.59,867
2010-12-31,1681000.0,9.3,220.472,821
2011-01-31,2134000.0,9.1,221.187,837
2011-02-28,1606000.0,9.0,221.898,1025
2011-03-31,1624000.0,9.0,223.046,1466
2011-04-30,2103000.0,9.1,224.093,1137
2011-05-31,1690000.0,9.0,224.806,859
2011-06-30,1673000.0,9.1,224.806,890
2011-07-31,2063000.0,9.0,225.395,884
2011-08-31,1638000.0,9.0,226.106,1044
2011-09-30,1671000.0,9.0,226.597,1021
2011-10-31,2012000.0,8.8,226.75,1027
2011-11-30,1557000.0,8.6,227.169,910
2011-12-31,1885000.0,8.5,227.223,685
2012-01-31,1511000.0,8.3,227.842,984
2012-02-29,1453000.0,8.3,228.329,1310
2012-03-31,1833000.0,8.2,228.807,1568
2012-04-30,1527000.0,8.2,229.187,1079
2012-05-31,1494000.0,8.2,228.713,1205
2012-06-30,1896000.0,8.2,228.524,999
2012-07-31,1490000.0,8.2,228.59,959
2012-08-31,1493000.0,8.1,229.918,1018
2012-09-30,1909000.0,7.8,231.015,1131
2012-10-31,1474000.0,7.8,231.638,1016
2012-11-30,1605000.0,7.7,231.249,1054
2012-12-31,1795000.0,7.9,231.221,877
2013-01-31,1412000.0,8.0,231.679,942
2013-02-28,1412000.0,7.7,232.937,984
2013-03-31,1759000.0,7.5,232.282,1160
2013-04-30,1389000.0,7.6,231.797,445
2013-05-31,1391000.0,7.5,231.893,531
2013-06-30,1723000.0,7.5,232.445,951
2013-07-31,1384000.0,7.3,232.9,1686
2013-08-31,1667000.0,7.2,233.456,1659
2013-09-30,1256000.0,7.2,233.544,1258
2013-10-31,1434000.0,7.2,233.669,1302
2013-11-30,1641000.0,6.9,234.1,1192
2013-12-31,1384000.0,6.7,234.719,1003
