state,month,population,median_income,initial_claims,Unemployment Rate,lfp_rate
Alabama,1987/1/1,4015.264,47750,71032,9.2,61.6
Alabama,1987/2/1,4015.264,47750,28758,9,61.6
Alabama,1987/3/1,4015.264,47750,29053,8.8,61.5
Alabama,1987/4/1,4015.264,47750,24599,8.5,61.5
Alabama,1987/5/1,4015.264,47750,28278,8.3,61.5
Alabama,1987/6/1,4015.264,47750,20294,8.1,61.5
Alabama,1987/7/1,4015.264,47750,37197,8,61.5
Alabama,1987/8/1,4015.264,47750,25352,7.9,61.5
Alabama,1987/9/1,4015.264,47750,15954,7.8,61.5
Alabama,1987/10/1,4015.264,47750,22164,7.7,61.5
Alabama,1987/11/1,4015.264,47750,20232,7.6,61.6
Alabama,1987/12/1,4015.264,47750,26084,7.5,61.6
Alabama,1988/1/1,4023.844,46550,67508,7.4,61.5
Alabama,1988/2/1,4023.844,46550,24533,7.4,61.4
Alabama,1988/3/1,4023.844,46550,22542,7.3,61.3
Alabama,1988/4/1,4023.844,46550,25739,7.2,61.2
Alabama,1988/5/1,4023.844,46550,19704,7.2,61.1
Alabama,1988/6/1,4023.844,46550,20455,7.2,61.2
Alabama,1988/7/1,4023.844,46550,46394,7.2,61.2
Alabama,1988/8/1,4023.844,46550,26764,7.2,61.3
Alabama,1988/9/1,4023.844,46550,21262,7.3,61.4
Alabama,1988/10/1,4023.844,46550,27927,7.3,61.6
Alabama,1988/11/1,4023.844,46550,21146,7.3,61.7
Alabama,1988/12/1,4023.844,46550,33102,7.2,61.7
Alabama,1989/1/1,4030.222,47570,56804,7.2,61.8
Alabama,1989/2/1,4030.222,47570,23651,7.1,61.8
Alabama,1989/3/1,4030.222,47570,22992,7.1,61.9
Alabama,1989/4/1,4030.222,47570,24228,7.1,61.9
Alabama,1989/5/1,4030.222,47570,20780,7.1,62
Alabama,1989/6/1,4030.222,47570,21988,7.1,62
Alabama,1989/7/1,4030.222,47570,51245,7,62.1
