State,Year,Month,Unemployment Rate
Alabama,1976,01,6.7   
Alaska,1976,01,7.1   
Arizona,1976,01,10.2   
Arkansas,1976,01,7.3   
California,1976,01,9.2   
Los Angeles County,1976,01,8.9   
Colorado,1976,01,5.8   
Connecticut,1976,01,9.7   
Delaware,1976,01,8.0   
District of Columbia,1976,01,8.8   
Florida,1976,01,9.6   
Georgia,1976,01,8.4   
Hawaii,1976,01,9.6   
Idaho,1976,01,5.6   
Illinois,1976,01,6.6   
Indiana,1976,01,6.6   
Iowa,1976,01,4.4   
Kansas,1976,01,4.2   
Kentucky,1976,01,5.6   
Louisiana,1976,01,6.3   
Maine,1976,01,8.7   
Maryland,1976,01,6.5   
Massachusetts,1976,01,10.6   
Michigan,1976,01,9.9   
Minnesota,1976,01,5.9   
Mississippi,1976,01,6.6   
Missouri,1976,01,6.0   
Montana,1976,01,5.9   
Nebraska,1976,01,3.2   
Nevada,1976,01,9.2   
New Hampshire,1976,01,6.5   
New Jersey,1976,01,10.2   
New Mexico,1976,01,8.6   
New York,1976,01,10.3   
New York city,1976,01,11.2   
North Carolina,1976,01,6.5   
North Dakota,1976,01,3.5   
Ohio,1976,01,8.1   
Oklahoma,1976,01,5.8   
Oregon,1976,01,9.5   
Pennsylvania,1976,01,8.1   
Rhode Island,1976,01,7.7   
South Carolina,1976,01,7.3   
South Dakota,1976,01,3.3   
Tennessee,1976,01,6.0   
Texas,1976,01,5.8   
Utah,1976,01,5.8   
Vermont,1976,01,8.5   
Virginia,1976,01,6.0   
Washington,1976,01,8.5   
West Virginia,1976,01,7.4   
Wisconsin,1976,01,5.8   
Wyoming,1976,01,4.1   
Alabama,1976,02,6.6   
Alaska,1976,02,7.1   
Arizona,1976,02,10.2   
Arkansas,1976,02,7.3   
California,1976,02,9.2   
Los Angeles County,1976,02,8.9   
Colorado,1976,02,5.8   
Connecticut,1976,02,9.7   
Delaware,1976,02,8.0   
District of Columbia,1976,02,8.8   
Florida,1976,02,9.7   
Georgia,1976,02,8.4   
Hawaii,1976,02,9.6   
Idaho,1976,02,5.6   
Illinois,1976,02,6.6   
Indiana,1976,02,6.6   
Iowa,1976,02,4.4   
Kansas,1976,02,4.2   
Kentucky,1976,02,5.6   
Louisiana,1976,02,6.3   
Maine,1976,02,8.7   
