State,Filed week ended,Initial Claims
Alabama,01/03/1987,"16,309"
Alabama,01/10/1987,"21,203"
Alabama,01/17/1987,"17,409"
Alabama,01/24/1987,"8,839"
Alabama,01/31/1987,"7,272"
Alabama,02/07/1987,"7,272"
Alabama,02/14/1987,"8,633"
Alabama,02/21/1987,"6,499"
Alabama,02/28/1987,"6,354"
Alabama,03/07/1987,"5,563"
Alabama,03/14/1987,"6,207"
Alabama,03/21/1987,"10,978"
Alabama,03/28/1987,"6,305"
Alabama,04/04/1987,"5,315"
Alabama,04/11/1987,"7,472"
Alabama,04/18/1987,"5,597"
Alabama,04/25/1987,"6,215"
Alabama,05/02/1987,"5,186"
Alabama,05/09/1987,"5,749"
Alabama,05/16/1987,"6,056"
Alabama,05/23/1987,"6,582"
Alabama,05/30/1987,"4,705"
Alabama,06/06/1987,"5,479"
Alabama,06/13/1987,"5,022"
Alabama,06/20/1987,"4,949"
Alabama,06/27/1987,"4,844"
Alabama,07/04/1987,"5,205"
Alabama,07/11/1987,"10,696"
Alabama,07/18/1987,"12,676"
Alabama,07/25/1987,"8,620"
Alabama,08/01/1987,"5,806"
Alabama,08/08/1987,"5,580"
Alabama,08/15/1987,"5,257"
Alabama,08/22/1987,"4,515"
Alabama,08/29/1987,"4,194"
Alabama,09/05/1987,"4,791"
Alabama,09/12/1987,"3,650"
Alabama,09/19/1987,"3,899"
Alabama,09/26/1987,"3,614"
Alabama,10/03/1987,"4,121"
Alabama,10/10/1987,"5,289"
Alabama,10/17/1987,"3,905"
Alabama,10/24/1987,"4,430"
Alabama,10/31/1987,"4,419"
Alabama,11/07/1987,"4,873"
Alabama,11/14/1987,"5,072"
Alabama,11/21/1987,"5,834"
Alabama,11/28/1987,"4,453"
Alabama,12/05/1987,"6,388"
Alabama,12/12/1987,"6,912"
Alabama,12/19/1987,"5,817"
Alabama,12/26/1987,"6,967"
Alabama,01/02/1988,"8,805"
Alabama,01/09/1988,"17,120"
Alabama,01/16/1988,"19,628"
Alabama,01/23/1988,"12,624"
Alabama,01/30/1988,"9,331"
Alabama,02/06/1988,"6,557"
Alabama,02/13/1988,"6,302"
Alabama,02/20/1988,"5,380"
Alabama,02/27/1988,"6,294"
Alabama,03/05/1988,"5,340"
Alabama,03/12/1988,"5,427"
Alabama,03/19/1988,"4,326"
Alabama,03/26/1988,"7,449"
Alabama,04/02/1988,"4,586"
Alabama,04/09/1988,"6,373"
Alabama,04/16/1988,"4,959"
Alabama,04/23/1988,"5,479"
Alabama,04/30/1988,"4,342"
Alabama,05/07/1988,"5,457"
Alabama,05/14/1988,"5,082"
Alabama,05/21/1988,"4,795"
Alabama,05/28/1988,"4,370"
Alabama,06/04/1988,"6,755"
Alabama,06/11/1988,"4,314"
Alabama,06/18/1988,"4,767"
Alabama,06/25/1988,"4,619"
Alabama,07/02/1988,"4,759"
Alabama,07/09/1988,"8,531"
Alabama,07/16/1988,"15,639"
Alabama,07/23/1988,"10,663"
Alabama,07/30/1988,"6,802"
Alabama,08/06/1988,"8,742"
Alabama,08/13/1988,"6,141"
Alabama,08/20/1988,"6,755"
Alabama,08/27/1988,"5,126"
Alabama,09/03/1988,"5,758"
Alabama,09/10/1988,"5,685"
Alabama,09/17/1988,"5,467"
Alabama,09/24/1988,"4,352"
Alabama,10/01/1988,"4,466"
Alabama,10/08/1988,"6,588"
Alabama,10/15/1988,"5,483"
Alabama,10/22/1988,"5,220"
Alabama,10/29/1988,"6,170"
Alabama,11/05/1988,"5,064"
Alabama,11/12/1988,"4,363"
Alabama,11/19/1988,"6,855"
Alabama,11/26/1988,"4,864"
Alabama,12/03/1988,"8,321"
Alabama,12/10/1988,"5,408"
Alabama,12/17/1988,"5,334"
Alabama,12/24/1988,"5,724"
Alabama,12/31/1988,"8,315"
Alabama,01/07/1989,"16,343"
Alabama,01/14/1989,"22,189"
Alabama,01/21/1989,"10,109"
Alabama,01/28/1989,"8,163"
Alabama,02/04/1989,"6,202"
Alabama,02/11/1989,"5,568"
Alabama,02/18/1989,"6,681"
Alabama,02/25/1989,"5,200"
Alabama,03/04/1989,"6,218"
Alabama,03/11/1989,"5,436"
Alabama,03/18/1989,"5,301"
Alabama,03/25/1989,"6,037"
Alabama,04/01/1989,"4,400"
Alabama,04/08/1989,"5,578"
Alabama,04/15/1989,"4,393"
Alabama,04/22/1989,"5,674"
Alabama,04/29/1989,"4,183"
Alabama,05/06/1989,"5,098"
Alabama,05/13/1989,"5,923"
Alabama,05/20/1989,"4,749"
Alabama,05/27/1989,"5,010"
Alabama,06/03/1989,"4,756"
Alabama,06/10/1989,"4,641"
Alabama,06/17/1989,"6,959"
Alabama,06/24/1989,"5,632"
Alabama,07/01/1989,"5,838"
Alabama,07/08/1989,"7,681"
Alabama,07/15/1989,"16,979"
Alabama,07/22/1989,"12,996"
Alabama,07/29/1989,"7,751"
Alabama,08/05/1989,"7,321"
Alabama,08/12/1989,"7,442"
Alabama,08/19/1989,"4,625"
Alabama,08/26/1989,"3,880"
Alabama,09/02/1989,"5,034"
Alabama,09/09/1989,"4,437"
Alabama,09/16/1989,"4,460"
Alabama,09/23/1989,"5,279"
Alabama,09/30/1989,"4,735"
Alabama,10/07/1989,"5,359"
Alabama,10/14/1989,"5,208"
Alabama,10/21/1989,"4,990"
Alabama,10/28/1989,"5,562"
Alabama,11/04/1989,"5,119"
Alabama,11/11/1989,"4,842"
Alabama,11/18/1989,"7,117"
Alabama,11/25/1989,"4,274"
Alabama,12/02/1989,"9,193"
Alabama,12/09/1989,"7,982"
Alabama,12/16/1989,"5,915"
Alabama,12/23/1989,"8,343"
Alabama,12/30/1989,"11,758"
Alabama,01/06/1990,"14,782"
Alabama,01/13/1990,"21,868"
Alabama,01/20/1990,"14,723"
Alabama,01/27/1990,"9,275"
Alabama,02/03/1990,"7,089"
