observation_date,lfp_rate
1987/1/1,65.1
1987/2/1,65
1987/3/1,65
1987/4/1,64.9
1987/5/1,64.8
1987/6/1,64.7
1987/7/1,64.6
1987/8/1,64.5
1987/9/1,64.5
1987/10/1,64.4
1987/11/1,64.4
1987/12/1,64.4
1988/1/1,64.3
1988/2/1,64.2
1988/3/1,64.1
1988/4/1,64
1988/5/1,63.9
1988/6/1,63.8
1988/7/1,63.8
1988/8/1,63.9
1988/9/1,64
1988/10/1,64
1988/11/1,64.1
1988/12/1,64.1
1989/1/1,64.1
1989/2/1,64
1989/3/1,64
1989/4/1,64.1
1989/5/1,64.2
1989/6/1,64.3
1989/7/1,64.4
1989/8/1,64.4
1989/9/1,64.4
1989/10/1,64.4
1989/11/1,64.4
1989/12/1,64.4
1990/1/1,64.4
1990/2/1,64.5
1990/3/1,64.5
1990/4/1,64.6
1990/5/1,64.5
1990/6/1,64.5
1990/7/1,64.6
1990/8/1,64.6
1990/9/1,64.5
1990/10/1,64.5
1990/11/1,64.4
1990/12/1,64.3
1991/1/1,64.2
1991/2/1,64.2
1991/3/1,64.1
1991/4/1,63.9
1991/5/1,63.9
1991/6/1,63.8
1991/7/1,63.7
1991/8/1,63.7
1991/9/1,63.6
1991/10/1,63.7
1991/11/1,63.7
1991/12/1,63.8
1992/1/1,63.9
1992/2/1,64
1992/3/1,64.1
1992/4/1,64.1
1992/5/1,64.1
1992/6/1,64
1992/7/1,63.9
1992/8/1,63.8
1992/9/1,63.7
1992/10/1,63.6
1992/11/1,63.5
1992/12/1,63.3
1993/1/1,63.3
1993/2/1,63.2
1993/3/1,63.3
1993/4/1,63.4
1993/5/1,63.5
1993/6/1,63.6
1993/7/1,63.6
1993/8/1,63.7
1993/9/1,63.7
1993/10/1,63.7
1993/11/1,63.7
1993/12/1,63.8
1994/1/1,63.8
1994/2/1,63.8
1994/3/1,63.8
1994/4/1,63.7
1994/5/1,63.6
1994/6/1,63.6
1994/7/1,63.6
1994/8/1,63.6
1994/9/1,63.7
1994/10/1,63.7
1994/11/1,63.7
1994/12/1,63.7
1995/1/1,63.7
1995/2/1,63.6
1995/3/1,63.6
1995/4/1,63.6
1995/5/1,63.6
1995/6/1,63.6
1995/7/1,63.6
1995/8/1,63.6
1995/9/1,63.5
1995/10/1,63.5
1995/11/1,63.5
1995/12/1,63.5
1996/1/1,63.5
1996/2/1,63.6
1996/3/1,63.6
1996/4/1,63.7
1996/5/1,63.8
1996/6/1,63.9
1996/7/1,64
1996/8/1,64.1
1996/9/1,64.1
1996/10/1,64.2
1996/11/1,64.2
1996/12/1,64.2
1997/1/1,64.2
1997/2/1,64.2
1997/3/1,64.1
1997/4/1,64.1
1997/5/1,64.1
1997/6/1,64.1
1997/7/1,64.1
1997/8/1,64.1
1997/9/1,64.1
1997/10/1,64
1997/11/1,64.1
1997/12/1,64.1
1998/1/1,64.1
1998/2/1,64.2
1998/3/1,64.3
1998/4/1,64.3
1998/5/1,64.4
1998/6/1,64.5
1998/7/1,64.5
1998/8/1,64.5
1998/9/1,64.6
1998/10/1,64.6
1998/11/1,64.6
