observation_date,lfp_rate
1987/1/1,68.5
1987/2/1,68.7
1987/3/1,68.7
1987/4/1,68.8
1987/5/1,68.8
1987/6/1,68.8
1987/7/1,68.9
1987/8/1,68.9
1987/9/1,69
1987/10/1,69
1987/11/1,69
1987/12/1,69.1
1988/1/1,69.1
1988/2/1,69.2
1988/3/1,69.3
1988/4/1,69.5
1988/5/1,69.6
1988/6/1,69.7
1988/7/1,69.9
1988/8/1,70.1
1988/9/1,70.2
1988/10/1,70.4
1988/11/1,70.6
1988/12/1,70.7
1989/1/1,70.8
1989/2/1,70.8
1989/3/1,70.8
1989/4/1,70.9
1989/5/1,70.8
1989/6/1,70.8
1989/7/1,70.7
1989/8/1,70.7
1989/9/1,70.7
1989/10/1,70.6
1989/11/1,70.6
1989/12/1,70.6
1990/1/1,70.5
1990/2/1,70.5
1990/3/1,70.5
1990/4/1,70.5
1990/5/1,70.5
1990/6/1,70.5
1990/7/1,70.6
1990/8/1,70.7
1990/9/1,70.7
1990/10/1,70.8
1990/11/1,70.9
1990/12/1,70.9
1991/1/1,70.9
1991/2/1,70.9
1991/3/1,70.9
1991/4/1,70.8
1991/5/1,70.8
1991/6/1,70.7
1991/7/1,70.6
1991/8/1,70.6
1991/9/1,70.5
1991/10/1,70.5
1991/11/1,70.6
1991/12/1,70.7
1992/1/1,70.8
1992/2/1,70.9
1992/3/1,71.1
1992/4/1,71.3
1992/5/1,71.6
1992/6/1,71.8
1992/7/1,72
1992/8/1,72
1992/9/1,72
1992/10/1,71.9
1992/11/1,71.8
1992/12/1,71.7
1993/1/1,71.7
1993/2/1,71.7
1993/3/1,71.7
1993/4/1,71.8
1993/5/1,71.9
1993/6/1,71.9
1993/7/1,72
1993/8/1,72.1
1993/9/1,72.2
1993/10/1,72.4
1993/11/1,72.5
1993/12/1,72.7
1994/1/1,72.9
1994/2/1,73
1994/3/1,73
1994/4/1,73
1994/5/1,72.9
1994/6/1,72.9
1994/7/1,73
1994/8/1,73.1
1994/9/1,73.2
1994/10/1,73.3
1994/11/1,73.3
1994/12/1,73.4
1995/1/1,73.4
1995/2/1,73.4
1995/3/1,73.4
1995/4/1,73.5
1995/5/1,73.5
1995/6/1,73.5
1995/7/1,73.6
1995/8/1,73.6
1995/9/1,73.6
1995/10/1,73.5
1995/11/1,73.5
1995/12/1,73.6
1996/1/1,73.6
1996/2/1,73.8
1996/3/1,73.9
1996/4/1,74
1996/5/1,74
1996/6/1,74
1996/7/1,74
1996/8/1,73.9
1996/9/1,73.9
1996/10/1,73.8
1996/11/1,73.7
1996/12/1,73.7
1997/1/1,73.6
1997/2/1,73.7
1997/3/1,73.7
1997/4/1,73.8
1997/5/1,74
1997/6/1,74.1
1997/7/1,74.2
1997/8/1,74.4
1997/9/1,74.5
1997/10/1,74.5
1997/11/1,74.5
1997/12/1,74.5
1998/1/1,74.4
1998/2/1,74.3
1998/3/1,74.1
1998/4/1,74
1998/5/1,74
1998/6/1,73.9
1998/7/1,73.9
1998/8/1,73.8
1998/9/1,73.7
1998/10/1,73.6
1998/11/1,73.5
1998/12/1,73.4
1999/1/1,73.3
1999/2/1,73.2
1999/3/1,73.1
1999/4/1,73
1999/5/1,72.9
1999/6/1,72.9
1999/7/1,72.9
1999/8/1,72.9
1999/9/1,72.9
1999/10/1,72.9
1999/11/1,73
1999/12/1,73
2000/1/1,73
