observation_date,MEHOINUSALA672N
1984-01-01,45510
1985-01-01,46610
1986-01-01,47860
1987-01-01,47750
1988-01-01,46550
1989-01-01,47570
1990-01-01,49790
1991-01-01,50080
1992-01-01,51770
1993-01-01,49100
1994-01-01,52100
1995-01-01,48640
1996-01-01,55250
1997-01-01,57010
1998-01-01,63860
1999-01-01,62540
2000-01-01,59070
2001-01-01,57340
2002-01-01,60570
2003-01-01,58790
2004-01-01,56390
2005-01-01,55580
2006-01-01,55180
2007-01-01,59840
2008-01-01,60810
2009-01-01,54890
2010-01-01,55440
2011-01-01,55940
2012-01-01,56010
2013-01-01,60250
2014-01-01,53070
2015-01-01,55920
2016-01-01,58800
2017-01-01,62250
2018-01-01,59900
2019-01-01,66430
2020-01-01,63980
2021-01-01,63750
2022-01-01,62290
2023-01-01,60660
