observation_date,MEHOINUSCOA672N
1984-01-01,67830
1985-01-01,71660
1986-01-01,68020
1987-01-01,64060
1988-01-01,61170
1989-01-01,59920
1990-01-01,65510
1991-01-01,64790
1992-01-01,65160
1993-01-01,67510
1994-01-01,72470
1995-01-01,76170
1996-01-01,74660
1997-01-01,77170
1998-01-01,82050
1999-01-01,83110
2000-01-01,80450
2001-01-01,80560
2002-01-01,77790
2003-01-01,78800
2004-01-01,78330
2005-01-01,75470
2006-01-01,80970
2007-01-01,86670
2008-01-01,83330
2009-01-01,76790
2010-01-01,81570
2011-01-01,77010
2012-01-01,73780
2013-01-01,86470
2014-01-01,76500
2015-01-01,83660
2016-01-01,87870
2017-01-01,91760
2018-01-01,87610
2019-01-01,85700
2020-01-01,98010
2021-01-01,95130
2022-01-01,93510
2023-01-01,96640
