observation_date,MEHOINUSDCA672N
1984-01-01,53650
1985-01-01,53590
1986-01-01,60840
1987-01-01,66430
1988-01-01,62400
1989-01-01,59800
1990-01-01,58390
1991-01-01,61470
1992-01-01,60670
1993-01-01,53450
1994-01-01,57690
1995-01-01,57540
1996-01-01,58280
1997-01-01,56870
1998-01-01,58870
1999-01-01,66710
2000-01-01,68740
2001-01-01,67140
2002-01-01,62930
2003-01-01,71080
2004-01-01,66890
2005-01-01,67310
2006-01-01,70480
2007-01-01,71980
2008-01-01,76010
2009-01-01,72960
2010-01-01,77100
2011-01-01,72570
2012-01-01,84080
2013-01-01,76460
2014-01-01,85710
2015-01-01,88030
2016-01-01,88390
2017-01-01,99470
2018-01-01,102900
2019-01-01,110100
2020-01-01,103200
2021-01-01,101500
2022-01-01,105700
2023-01-01,111000
