observation_date,MEHOINUSILA672N
1984-01-01,62450
1985-01-01,63230
1986-01-01,66320
1987-01-01,65530
1988-01-01,68890
1989-01-01,69960
1990-01-01,69370
1991-01-01,65580
1992-01-01,63290
1993-01-01,64320
1994-01-01,67200
1995-01-01,71240
1996-01-01,72110
1997-01-01,73690
1998-01-01,76030
1999-01-01,79930
2000-01-01,76820
2001-01-01,75300
2002-01-01,68800
2003-01-01,71250
2004-01-01,70930
2005-01-01,72410
2006-01-01,70760
2007-01-01,74430
2008-01-01,72820
2009-01-01,72580
2010-01-01,68700
2011-01-01,66510
2012-01-01,66670
2013-01-01,68670
2014-01-01,68940
2015-01-01,75900
2016-01-01,76440
2017-01-01,80730
2018-01-01,84140
2019-01-01,87950
2020-01-01,86960
2021-01-01,88750
2022-01-01,81120
2023-01-01,87820
