observation_date,MEHOINUSIAA672N
1984-01-01,52220
1985-01-01,53210
1986-01-01,56180
1987-01-01,53690
1988-01-01,56710
1989-01-01,58710
1990-01-01,58170
1991-01-01,58730
1992-01-01,57660
1993-01-01,56110
1994-01-01,63360
1995-01-01,66470
1996-01-01,60550
1997-01-01,60300
1998-01-01,65190
1999-01-01,70900
2000-01-01,68360
2001-01-01,66830
2002-01-01,66120
2003-01-01,65300
2004-01-01,66790
2005-01-01,69570
2006-01-01,69970
2007-01-01,69330
2008-01-01,68560
2009-01-01,69630
2010-01-01,66380
2011-01-01,65960
2012-01-01,68870
2013-01-01,76590
2014-01-01,72570
2015-01-01,76450
2016-01-01,73590
2017-01-01,77670
2018-01-01,82430
2019-01-01,78080
2020-01-01,80510
2021-01-01,81110
2022-01-01,79350
2023-01-01,80860
