observation_date,MEHOINUSKSA672N
1984-01-01,64750
1985-01-01,57940
1986-01-01,59850
1987-01-01,61900
1988-01-01,59650
1989-01-01,60040
1990-01-01,63770
1991-01-01,60250
1992-01-01,60870
1993-01-01,58270
1994-01-01,54250
1995-01-01,56780
1996-01-01,59410
1997-01-01,65100
1998-01-01,64640
1999-01-01,64430
2000-01-01,68470
2001-01-01,67540
2002-01-01,68650
2003-01-01,69790
2004-01-01,63220
2005-01-01,62870
2006-01-01,66230
2007-01-01,68740
2008-01-01,65470
2009-01-01,61390
2010-01-01,62370
2011-01-01,60610
2012-01-01,64440
2013-01-01,60880
2014-01-01,67090
2015-01-01,68930
2016-01-01,70740
2017-01-01,69630
2018-01-01,76700
2019-01-01,86470
2020-01-01,85500
2021-01-01,85080
2022-01-01,75950
2023-01-01,84830
