observation_date,MEHOINUSKYA672N
1984-01-01,46480
1985-01-01,44140
1986-01-01,49710
1987-01-01,50020
1988-01-01,46450
1989-01-01,52040
1990-01-01,52820
1991-01-01,48880
1992-01-01,47110
1993-01-01,47710
1994-01-01,50940
1995-01-01,55780
1996-01-01,59090
1997-01-01,59710
1998-01-01,63840
1999-01-01,58200
2000-01-01,60480
2001-01-01,62690
2002-01-01,59220
2003-01-01,58280
2004-01-01,54820
2005-01-01,54900
2006-01-01,57410
2007-01-01,55920
2008-01-01,56260
2009-01-01,58570
2010-01-01,55670
2011-01-01,52350
2012-01-01,52940
2013-01-01,57140
2014-01-01,53710
2015-01-01,53250
2016-01-01,56500
2017-01-01,60790
2018-01-01,65440
2019-01-01,65800
2020-01-01,66400
2021-01-01,62290
2022-01-01,58090
2023-01-01,61980
