observation_date,MEHOINUSMEA672N
1984-01-01,54280
1985-01-01,52170
1986-01-01,58590
1987-01-01,57100
1988-01-01,61600
1989-01-01,63080
1990-01-01,58540
1991-01-01,57320
1992-01-01,59410
1993-01-01,53710
1994-01-01,58070
1995-01-01,63360
1996-01-01,63260
1997-01-01,58490
1998-01-01,62760
1999-01-01,67040
2000-01-01,62150
2001-01-01,59710
2002-01-01,59360
2003-01-01,58560
2004-01-01,63620
2005-01-01,65710
2006-01-01,66360
2007-01-01,67890
2008-01-01,64580
2009-01-01,65210
2010-01-01,64910
2011-01-01,65270
2012-01-01,63350
2013-01-01,69970
2014-01-01,64910
2015-01-01,63760
2016-01-01,63330
2017-01-01,65240
2018-01-01,70370
2019-01-01,78660
2020-01-01,74510
2021-01-01,79660
2022-01-01,78150
2023-01-01,75740
