observation_date,MEHOINUSMOA672N
1984-01-01,54620
1985-01-01,55780
1986-01-01,54840
1987-01-01,57390
1988-01-01,54700
1989-01-01,59230
1990-01-01,58260
1991-01-01,57440
1992-01-01,54880
1993-01-01,56140
1994-01-01,57830
1995-01-01,65170
1996-01-01,62470
1997-01-01,65240
1998-01-01,70790
1999-01-01,71390
2000-01-01,75210
2001-01-01,67420
2002-01-01,68900
2003-01-01,69050
2004-01-01,64860
2005-01-01,64310
2006-01-01,64810
2007-01-01,65210
2008-01-01,62950
2009-01-01,66950
2010-01-01,62050
2011-01-01,60120
2012-01-01,64130
2013-01-01,58950
2014-01-01,71090
2015-01-01,74370
2016-01-01,68510
2017-01-01,69180
2018-01-01,74050
2019-01-01,71630
2020-01-01,72740
2021-01-01,71210
2022-01-01,74360
2023-01-01,78290
