observation_date,MEHOINUSNVA672N
1984-01-01,67770
1985-01-01,59180
1986-01-01,65580
1987-01-01,65030
1988-01-01,65290
1989-01-01,65580
1990-01-01,68260
1991-01-01,67750
1992-01-01,64000
1993-01-01,70100
1994-01-01,68710
1995-01-01,67520
1996-01-01,70260
1997-01-01,69350
1998-01-01,70010
1999-01-01,71530
2000-01-01,76310
2001-01-01,74050
2002-01-01,72420
2003-01-01,71300
2004-01-01,72660
2005-01-01,72120
2006-01-01,76010
2007-01-01,76630
2008-01-01,74850
2009-01-01,70610
2010-01-01,69340
2011-01-01,61790
2012-01-01,61000
2013-01-01,66010
2014-01-01,62610
2015-01-01,65340
2016-01-01,69020
2017-01-01,71030
2018-01-01,74210
2019-01-01,83820
2020-01-01,71550
2021-01-01,72050
2022-01-01,75200
2023-01-01,81310
